#NSGA2
popsize 90
maxGen 60
numVar 9
numObj 1
numCons 2
stateFieldNames	currentGen	evaluateCount	totalTime	firstFrontCount	frontCount	avgEvalTime	
#end


#Generation 1 / 60
currentGen	1
evaluateCount	90
totalTime	960.613
firstFrontCount	1
frontCount	83
avgEvalTime	138.081
#end
Var1	Var2	Var3	Var4	Var5	Var6	Var7	Var8	Var9	Obj1	Cons1	Cons2	
248894	56.6877	0.0103573	0.204377	0.680532	67443.5	91.4696	99.4507	2.70005	1141.04	0	0	
132173	294.91	0.206295	0.506014	0.856887	83036.9	47.55	22.7986	4.19138	321.852	0	0	
146685	423.588	0.457007	0.564042	0.0145303	79879.1	63.8949	43.8997	4.36169	452.699	0	0	
295571	456.742	0.652106	0.69598	0.585751	20244.3	71.3337	17.0083	5.85247	860.345	0	0	
119383	174.563	0.972586	0.457076	0.516463	17741.4	81.4688	77.1055	3.09699	1601.95	0	0	
236196	318.168	0.470183	0.704274	0.610274	77039.4	99.9671	81.3632	4.65688	429.383	0	0	
266219	125.506	0.217299	0.674348	0.411609	30707.7	19.7387	42.7909	2.15625	576.021	0	0	
230231	223.346	0.345578	0.159523	0.619264	58501.2	85.6318	87.9386	3.96194	780.388	0	0	
207260	83.4636	0.879302	0.807939	0.592399	62735.6	31.2613	27.8134	2.34875	672.749	0	0	
251315	12.8878	0.0373484	0.689182	0.728112	29315.7	56.2543	24.0322	5.37422	100000	0	0	
291148	339.828	0.170274	0.283728	0.658566	67057.7	12.3459	28.9885	2.04498	905.651	0	0	
275480	351.271	0.443829	0.141456	0.609503	52122	18.8624	67.8456	2.15063	1474.37	0	0	
199864	120.57	0.0568005	0.422907	0.654765	54105.5	79.6118	26.8191	3.84936	438.958	0	0	
130189	248.259	0.780544	0.313679	0.220728	17989.5	77.0014	45.3363	8.97492	100000	0	0	
141885	299.548	0.460881	0.788722	0.536726	17831.2	79.0801	78.3215	4.39446	529.158	0	0	
184073	315.665	0.588286	0.921128	0.644659	11243	48.55	55.2981	7.40003	549.837	0	0	
230663	93.9304	0.365829	0.932821	0.601761	59974.5	14.4373	70.06	7.95115	283.075	0	0	
159108	414.049	0.662955	0.997945	0.0970843	87337.3	15.7025	23.0834	8.17466	406.847	0	0	
153702	194.447	0.736263	0.92017	0.47601	68988.9	94.9893	57.7684	5.04832	390.656	0	0	
160437	138.207	0.0308034	0.828525	0.817476	39940	88.826	97.7397	6.79916	311.285	0	0	
257706	431.823	0.551324	0.971407	0.665266	64752.5	98.8553	70.6936	6.16007	397.802	0	0	
165144	129.993	0.954822	0.191599	0.0899243	93450	73.5304	16.0649	2.89706	2484.46	0	0	
267892	146.74	0.138027	0.710045	0.594005	83689.8	67.283	86.7262	6.17365	346.51	0	0	
277217	22.9411	0.498099	0.270057	0.948213	29383.3	71.2212	64.5257	3.61825	1139.2	0	0	
223232	497.375	0.059638	0.704293	0.247264	88354.7	15.1937	85.6146	8.30062	277.789	0	0	
265520	400.958	0.162286	0.7764	0.523377	58347.6	39.0997	54.1313	3.92493	401.791	0	0	
248370	262.416	0.723041	0.746413	0.461515	36805.7	71.8602	39.9026	2.54642	934.719	0	0	
291118	255.196	0.0646082	0.368329	0.0380362	69089	41.2537	26.3035	4.23458	529.149	0	0	
165699	240.27	0.10291	0.788371	0.884611	47038.4	60.8635	38.0809	4.29977	308.265	0	0	
167364	316.738	0.82783	0.643169	0.179156	46424.4	76.1134	10.3526	3.32632	1444.41	0	0	
250823	35.7197	0.0419436	0.65146	0.11704	55449.8	13.8726	15.9156	7.6006	100000	0	0	
153579	313.202	0.220271	0.623969	0.843105	65387.7	87.3688	50.8625	8.30016	306.351	0	0	
102686	491.715	0.0482785	0.986398	0.21389	30340.1	88.6504	56.2671	6.21949	258.037	0	0	
269022	378.445	0.98094	0.138886	0.0686384	80983	30.5459	79.894	8.95706	2422.7	0	0	
268972	129.75	0.603093	0.421353	0.556671	29288.3	34.8727	24.3414	5.58993	100000	0	0	
216851	93.5805	0.674391	0.78289	0.263609	25212.1	74.508	93.9845	4.91773	886.144	0	0	
170848	142.584	0.0787583	0.568823	0.650583	56059	87.9435	29.6122	7.27285	100000	0	0	
137388	213.795	0.879503	0.130825	0.0667585	98538	84.4165	31.4319	6.263	1952.19	0	0	
232872	393.564	0.199173	0.568865	0.895053	23124.6	46.6562	58.6833	2.96156	608.732	0	0	
159345	494.09	0.626027	0.860644	0.0212294	29788.9	75.8083	51.2733	4.47942	891.416	0	0	
109577	58.4435	0.280597	0.112341	0.0234405	71875	13.487	60.0963	2.34377	1299.54	0	0	
153504	409.061	0.322256	0.731574	0.829161	86225	35.9948	98.397	5.97584	264.079	0	0	
218576	350.09	0.977717	0.360638	0.24937	85611.8	67.4653	33.3143	6.66631	1729.05	0	0	
234031	148.484	0.333021	0.810487	0.519429	97832.4	48.8317	58.8953	4.03634	361.212	0	0	
210625	199.949	0.631344	0.201545	0.53569	48634.1	97.4854	43.7477	5.8386	599.887	0	0	
203868	81.9127	0.468656	0.775104	0.76096	66245.5	29.619	96.6455	4.5929	358.007	0	0	
282912	19.5386	0.74505	0.502656	0.577984	72238.5	15.4857	42.0985	6.84569	411.793	0	0	
293848	389.585	0.972967	0.650302	0.963687	40252.9	54.8785	15.3783	2.87955	675.033	0	0	
270004	480.51	0.482701	0.466974	0.464042	43518.2	36.3152	50.6861	3.69175	801.107	0	0	
182209	492.519	0.121022	0.168324	0.177508	68932.4	44.5186	58.361	8.30041	621.209	0	0	
168878	138.747	0.983576	0.534	0.346622	47182.9	77.1679	74.4378	8.03878	682.055	0	0	
221024	64.8533	0.776417	0.624615	0.442384	50348.4	49.302	82.0022	6.28044	522.848	0	0	
110405	349.764	0.940617	0.598701	0.528052	94350.8	99.5058	51.6072	6.66454	341.362	0	0	
234893	162.265	0.805372	0.353519	0.586774	88527.1	91.3062	13.0661	6.29913	100000	0	0	
283397	218.709	0.556085	0.873268	0.581018	66580.1	13.7385	24.0488	7.78058	292.154	0	0	
253076	489.689	0.983609	0.621898	0.977432	68582.4	33.5024	76.5674	3.25319	580.135	0	0	
260982	117.096	0.691739	0.671729	0.302974	55828	41.6181	64.1165	3.45427	792.631	0	0	
265635	408.407	0.130415	0.655772	0.921975	51059.3	32.8038	42.141	7.54725	329.217	0	0	
297680	71.3385	0.319792	0.895976	0.0145265	65282.2	62.2438	47.94	7.12857	342.589	0	0	
186858	445.379	0.209139	0.49653	0.68017	57017.5	62.8283	24.0226	4.52116	445.047	0	0	
191925	394.008	0.756992	0.250429	0.830067	76384.4	44.8544	56.6749	8.5202	350.925	0	0	
270289	184.578	0.870848	0.33754	0.81051	42970.1	92.7591	71.3394	5.85932	683.657	0	0	
168356	160.909	0.692778	0.508151	0.121654	65123.5	69.0768	72.2416	6.61998	505.619	0	0	
291768	91.2954	0.774516	0.889649	0.775911	16047	49.7544	80.0146	4.16508	780.124	0	0	
138829	438.252	0.2661	0.957686	0.434898	27974.4	17.2752	36.4348	6.85775	373.833	0	0	
