#NSGA2
popsize 90
maxGen 60
numVar 9
numObj 1
numCons 2
stateFieldNames	currentGen	evaluateCount	totalTime	firstFrontCount	frontCount	avgEvalTime	
#end


#Generation 1 / 60
currentGen	1
evaluateCount	90
totalTime	647.448
firstFrontCount	1
frontCount	90
avgEvalTime	96.9408
#end
Var1	Var2	Var3	Var4	Var5	Var6	Var7	Var8	Var9	Obj1	Cons1	Cons2	
237146	103.084	0.151416	0.275056	0.0519581	45037.4	44.7638	31.4562	3.34967	193.276	0	0	
273346	81.0401	0.348183	0.948828	0.266187	14606.2	51.7885	90.2834	6.80983	133.673	0	0	
285822	304.77	0.567126	0.971418	0.67954	92409.6	52.1148	53.5703	7.4688	381.522	0	0	
193019	199.862	0.929517	0.40908	0.276632	41633	80.2639	25.1979	4.34193	126.318	0	0	
239341	370.536	0.314341	0.115561	0.320155	38616.5	58.527	80.3719	7.31492	221.992	0	0	
220297	373.126	0.343927	0.695965	0.482742	98102.5	26.4783	16.2975	8.96359	342.077	0	0	
272832	47.8524	0.436053	0.69122	0.80089	42629.7	39.4839	50.2566	8.85759	152.02	0	0	
249313	227.08	0.500696	0.785381	0.154459	74594.6	65.2477	16.4818	4.42806	164.977	0	0	
161634	164.263	0.521814	0.136411	0.46817	50944.2	26.3444	31.2815	8.48954	159.637	0	0	
105971	30.7551	0.582414	0.112896	0.822426	93165.6	81.2769	51.6487	2.66891	685.572	0	0	
248246	82.8825	0.950421	0.617269	0.70704	52827.1	33.4884	29.0546	2.89039	178.858	0	0	
292425	203.336	0.203142	0.965352	0.118341	35910.8	55.9357	62.7869	7.95892	245.266	0	0	
273608	421.317	0.44619	0.402135	0.334559	30440.1	26.5185	38.7775	2.87183	262.654	0	0	
288712	128.218	0.561311	0.84301	0.186145	75964	10.3763	36.1159	7.31954	146.761	0	0	
244144	45.7127	0.418234	0.997166	0.571957	62580.5	97.1151	73.4237	2.94587	241.467	0	0	
183687	436.207	0.67168	0.451415	0.0473407	42814	13.5933	74.8338	6.60341	129.553	0	0	
177654	419.362	0.906007	0.759945	0.989258	66949.4	25.3084	90.2507	2.50531	3073.48	0	0	
137024	412.755	0.0746577	0.583709	0.244433	53791.9	42.0011	90.966	6.26949	538.031	0	0	
297589	300.907	0.651347	0.933634	0.7838	20025.3	90.7046	33.03	5.73046	382.458	0	0	
105553	396.634	0.340053	0.592477	0.444787	74897.9	26.804	12.3504	4.8055	376.057	0	0	
126216	112.112	0.875611	0.455785	0.856255	90503	84.3387	82.2132	8.55169	307.641	0	0	
204137	381.477	0.938812	0.733378	0.985651	70815.6	32.8579	79.7321	4.14701	1846.24	0	0	
190250	36.3568	0.445224	0.930392	0.607813	86707.5	87.7393	94.3051	6.71059	207.944	0	0	
274413	116.91	0.890529	0.393592	0.862541	84177.6	47.9549	86.9064	7.87658	246.167	0	0	
120910	266.743	0.918828	0.545489	0.050123	68011.5	35.6845	56.5928	3.76198	97.4599	0	0	
