#NSGA2
popsize 90
maxGen 60
numVar 9
numObj 1
numCons 2
stateFieldNames	currentGen	evaluateCount	totalTime	firstFrontCount	frontCount	avgEvalTime	
#end


#Generation 1 / 60
currentGen	1
evaluateCount	90
totalTime	1052.89
firstFrontCount	1
frontCount	90
avgEvalTime	146.85
#end
Var1	Var2	Var3	Var4	Var5	Var6	Var7	Var8	Var9	Obj1	Cons1	Cons2	
110711	431.221	0.553317	0.562261	0.580869	89570.1	61.3638	66.6561	6.80894	291.416	0	0	
285559	88.17	0.0792502	0.734148	0.694493	69451.3	63.6869	65.715	6.4911	124.668	0	0	
120571	70.6154	0.97883	0.236995	0.489013	75341.4	88.6728	25.7377	3.93286	98.2656	0	0	
149690	105.821	0.951568	0.194456	0.0130323	33800.9	29.2744	90.8437	4.62243	107.929	0	0	
276194	385.442	0.626895	0.632093	0.65074	42874.9	18.757	48.1477	2.59753	311.681	0	0	
143929	274.239	0.317017	0.860974	0.678939	65178.6	38.5077	14.8266	4.06897	314.408	0	0	
275668	449.092	0.934291	0.944864	0.95482	37323.1	11.4963	61.4503	5.82881	942.474	0	0	
219074	223.394	0.649467	0.475456	0.196034	35138	10.324	15.9229	4.13562	123.118	0	0	
197488	99.79	0.301025	0.122989	0.853802	31599.9	51.0012	25.0285	3.06292	113.189	0	0	
263323	496.316	0.410832	0.871418	0.460945	72682.6	49.329	29.5769	6.09786	297.207	0	0	
194116	427.423	0.225596	0.666553	0.479777	93353.6	30.0144	65.0225	8.31809	314.847	0	0	
269855	442.041	0.205432	0.885784	0.267483	30386.7	86.8428	24.7944	3.88508	309.336	0	0	
202132	230.119	0.988413	0.330254	0.708574	46897.9	63.7374	42.204	4.15777	156.069	0	0	
157599	365.041	0.44186	0.843668	0.11136	48734.9	59.9813	81.4637	3.65529	167.937	0	0	
227241	493.596	0.77782	0.718348	0.07822	20208.9	91.0261	33.3488	3.11611	130.982	0	0	
179335	265.043	0.122354	0.730209	0.24037	89291.9	63.6664	94.6567	7.28454	223.453	0	0	
190332	407.279	0.0748868	0.613537	0.262041	57029	39.18	71.9872	3.78778	352.313	0	0	
287485	442.628	0.354142	0.869634	0.832337	28458.4	44.3378	64.4512	2.77146	609.057	0	0	
245590	20.7832	0.803743	0.503209	0.894072	62185.6	32.7086	72.009	5.94042	98.7579	0	0	
190147	59.7839	0.701897	0.611449	0.935439	29282.7	29.4944	22.8978	7.51655	103.22	0	0	
161884	343.322	0.292727	0.932239	0.401259	27756.2	38.8103	89.3154	2.79471	255.035	0	0	
199949	357.293	0.100451	0.882226	0.12206	50062.4	15.6198	60.2425	3.45878	350.289	0	0	
120407	389.259	0.0577647	0.841758	0.954619	72775.1	74.6007	29.9295	7.86333	400.236	0	0	
124589	152.084	0.962596	0.128403	0.460182	93058.9	52.9938	46.0477	4.17487	120.545	0	0	
271925	214.041	0.234252	0.994956	0.258616	97383.4	55.471	60.5654	5.64785	266.05	0	0	
220574	169.943	0.655585	0.580627	0.42413	12724.1	67.2168	21.6061	2.43978	145.016	0	0	
154137	457.468	0.0976327	0.613966	0.263916	64759.6	30.6549	32.4957	7.20745	244.548	0	0	
225250	395.987	0.620297	0.156986	0.980233	26084.6	64.671	65.5606	4.14926	175.589	0	0	
165088	429.358	0.742089	0.467754	0.244922	83257.8	35.0733	42.8671	8.66917	133.107	0	0	
206044	405.859	0.348589	0.16294	0.755105	49828.6	44.8619	45.2365	8.04023	139.139	0	0	
192405	261.137	0.0890336	0.917219	0.978954	34983.3	97.9918	58.124	4.29018	286	0	0	
171636	180.649	0.407018	0.735048	0.123553	63282.9	44.9575	56.0801	4.63255	127.789	0	0	
152529	13.9318	0.371809	0.965556	0.660197	87569.3	10.4879	99.6893	2.39327	135.81	0	0	
153455	178.062	0.490722	0.699281	0.679235	50096	78.1888	50.4978	4.92334	143.167	0	0	
183403	226.065	0.935545	0.91917	0.959953	51777.2	59.3487	60.9501	8.7673	222.025	0	0	
289252	132.474	0.85888	0.482291	0.886974	10952.2	72.5316	34.9884	4.11524	135.413	0	0	
192022	120.014	0.739288	0.729199	0.812753	47573.1	63.0865	10.6797	7.29082	100000	0	0	
243076	360.862	0.290815	0.69585	0.17233	63677.6	29.0976	17.3784	5.82449	204.288	0	0	
