#NSGA2
popsize 90
maxGen 60
numVar 9
numObj 1
numCons 2
stateFieldNames	currentGen	evaluateCount	totalTime	firstFrontCount	frontCount	avgEvalTime	
#end


#Generation 1 / 60
currentGen	1
evaluateCount	90
totalTime	737.769
firstFrontCount	1
frontCount	89
avgEvalTime	117.322
#end
Var1	Var2	Var3	Var4	Var5	Var6	Var7	Var8	Var9	Obj1	Cons1	Cons2	
106096	333.632	0.342066	0.410452	0.27759	27362.9	28.7404	88.3053	8.94367	369.959	0	0	
244861	485.059	0.37865	0.358122	0.834289	62838.9	94.4749	74.0821	8.12674	372.036	0	0	
254356	133.954	0.949534	0.990159	0.95204	77588.1	31.0246	78.4117	3.4153	339.624	0	0	
216423	147.744	0.484199	0.323754	0.767757	51128.8	41.2639	16.9316	8.17473	100000	0	0	
162669	111.841	0.571334	0.618772	0.97928	43235.1	93.4885	93.034	8.95643	249.179	0	0	
240641	158.119	0.854464	0.959114	0.48517	93306.4	38.1984	55.4925	6.71902	223.86	0	0	
170263	363.185	0.592904	0.355651	0.0588146	26604.4	81.3185	41.3725	4.20265	468.908	0	0	
127996	194.535	0.380899	0.908143	0.774398	98121.1	28.9114	48.2845	8.34588	754.869	0	0	
108611	40.5875	0.860895	0.482445	0.549001	99849.6	16.0258	42.3645	6.67842	608.301	0	0	
250700	321.482	0.431294	0.954577	0.425755	85137.2	42.1737	17.732	5.68019	225.083	0	0	
183833	29.1902	0.169888	0.920356	0.948203	32128.2	88.9643	80.7078	2.18487	395.434	0	0	
177653	212.161	0.55446	0.34594	0.0376394	81526.5	77.9248	25.474	4.6203	332.252	0	0	
268833	118.469	0.254596	0.211631	0.928749	24450.1	87.7415	63.2113	6.24692	394.659	0	0	
176702	119.594	0.0876886	0.824683	0.721719	72293.2	74.1367	92.758	8.35716	370.882	0	0	
165718	498.857	0.199632	0.298018	0.447961	69307.4	11.4656	98.7918	6.90338	635.138	0	0	
100467	170.183	0.355801	0.132466	0.597484	12942	17.2093	51.8624	5.10404	443.727	0	0	
199429	232.273	0.107622	0.543978	0.756534	21497.6	71.4145	57.0455	8.77993	338.609	0	0	
211640	413.22	0.735907	0.847564	0.710133	45365.4	32.3235	26.0301	3.72714	321.565	0	0	
118934	488.21	0.0870805	0.693027	0.213741	86283.8	87.0994	12.2806	6.97968	1411.35	0	0	
206112	366.684	0.319517	0.925194	0.409706	71992.4	45.1357	52.7405	3.91037	227.704	0	0	
147503	352.97	0.117119	0.448493	0.887572	97830.8	77.0296	24.2559	4.45146	1977.12	0	0	
128587	303.501	0.550939	0.334264	0.225641	63676.8	62.1544	32.8593	3.77293	314.076	0	0	
192935	413.608	0.222667	0.334618	0.798359	70625.9	14.3373	31.9296	4.31208	518.001	0	0	
245105	308.487	0.822072	0.852165	0.717718	54241.3	20.6408	83.9331	7.53761	311.338	0	0	
106731	124.591	0.789429	0.404845	0.663946	58904	43.8758	67.6113	4.85497	250.291	0	0	
227284	384.217	0.966431	0.236816	0.837656	76986.1	93.9055	47.9164	7.90454	390.629	0	0	
133047	36.4301	0.409204	0.397402	0.751824	62879.2	52.0634	43.1414	4.22655	202.771	0	0	
129112	231.289	0.237985	0.191054	0.395964	51724.6	99.3055	36.1639	6.1529	342.374	0	0	
240417	315.32	0.837526	0.511309	0.218308	67960.4	88.5976	24.6604	4.67312	352.774	0	0	
114997	234.505	0.638901	0.331405	0.361429	27708.6	75.811	21.4546	5.60131	357.55	0	0	
124735	69.8337	0.463778	0.705682	0.747118	58800	10.2241	53.5458	4.83714	259.092	0	0	
276805	190.806	0.866099	0.506161	0.51601	62055.3	85.2767	30.3133	7.13933	288.183	0	0	
156176	189.614	0.326559	0.830593	0.817693	78928	70.5243	81.5678	8.76949	385.274	0	0	
246164	205.94	0.630091	0.549273	0.745127	63525.7	57.1256	28.2783	4.10477	353.589	0	0	
115592	328.149	0.109889	0.385443	0.0190381	99490.9	96.5468	27.2928	4.96347	1779.39	0	0	
112865	27.8586	0.97263	0.250946	0.593677	49510.2	37.1764	44.6831	4.61731	177.006	0	0	
178692	350.854	0.270238	0.747842	0.912679	12303	56.5042	61.334	3.4355	452.875	0	0	
145294	140.951	0.778105	0.449483	0.717511	11532.1	80.6809	54.8566	6.57573	368.025	0	0	
202860	442.173	0.635528	0.567103	0.420173	99263.7	82.8478	96.4863	3.26435	252.41	0	0	
148580	108.045	0.919695	0.596048	0.638793	48457.1	71.7806	54.412	8.81034	218.557	0	0	
264161	388.182	0.969201	0.678818	0.531642	39156.8	31.9575	12.7921	8.43863	426.339	0	0	
285383	176.981	0.76004	0.854407	0.572495	21168	15.0391	88.6102	4.90211	451.479	0	0	
282002	229.101	0.698541	0.356854	0.387688	88811.6	64.6843	59.0002	2.39484	511.922	0	0	
277080	87.6044	0.293868	0.717802	0.237027	13348.4	12.0032	19.5637	4.29975	375.275	0	0	
241227	268.95	0.52888	0.939388	0.705646	67314.1	92.5064	31.5505	6.3027	257.783	0	0	
101412	411.835	0.660018	0.447857	0.276528	84534.9	44.9155	62.2221	5.81495	392.296	0	0	
212113	496.807	0.718865	0.460903	0.669627	84397	58.4268	76.9132	3.1548	347.099	0	0	
272993	351.181	0.582983	0.872083	0.351685	44691.1	18.0261	90.0295	2.97337	382.356	0	0	
102858	90.0515	0.65062	0.257355	0.276277	28861.9	66.2558	49.7165	7.7802	211.738	0	0	
285306	460.546	0.314032	0.551031	0.843017	55959.2	48.3122	57.5808	7.30671	338.493	0	0	
175150	436.289	0.932433	0.635963	0.538734	98261.3	89.9253	17.5842	2.77623	231.411	0	0	
200189	273.105	0.234419	0.311948	0.0625595	24520.2	69.8665	74.0649	7.79534	394.887	0	0	
104194	51.2215	0.696276	0.528659	0.949867	80406.8	28.4884	74.3034	3.95933	957.287	0	0	
179957	323.198	0.167552	0.358459	0.682986	90810.4	47.0252	72.8362	3.35542	828.316	0	0	
156723	153.365	0.129507	0.65466	0.053431	83429.5	31.9491	30.6727	4.59393	442.579	0	0	
156480	263.533	0.283238	0.342938	0.574681	78940.9	43.4464	88.704	7.69858	484.646	0	0	
278153	231.863	0.305397	0.353915	0.516186	77512.3	55.8201	35.5862	3.78957	415.751	0	0	
239941	495.862	0.109498	0.527739	0.279781	25443.2	86.3689	43.844	7.32687	380.47	0	0	
172686	130.453	0.665605	0.153674	0.55631	11531.8	91.8401	92.4417	6.88286	487.202	0	0	
277908	37.1737	0.680345	0.936238	0.0242247	29132.2	48.6415	22.6933	5.54037	220.971	0	0	
151377	84.7993	0.0349595	0.966652	0.417923	82354.2	36.9653	27.4118	3.92157	683.863	0	0	
122527	59.9344	0.92376	0.426213	0.277614	16585.4	60.3737	92.9367	8.79298	296.508	0	0	
237617	287.182	0.301394	0.237574	0.298514	45206.4	10.2584	24.4777	7.06919	472.226	0	0	
166094	278.158	0.0141191	0.81145	0.921325	83560.2	64.9498	38.1368	5.60462	1344.5	0	0	
101000	323.645	0.625558	0.656901	0.0841324	36401.3	88.4157	11.1592	7.35416	325.898	0	0	
134144	382.432	0.170664	0.873301	0.235971	80741.8	64.5466	74.589	3.12401	599.564	0	0	
110502	455.978	0.137603	0.970967	0.0244	68849.9	46.6851	54.7886	3.28909	618.569	0	0	
269662	100.06	0.811206	0.530511	0.620173	26063.3	45.8871	75.1945	4.02683	438.698	0	0	
234690	308.051	0.152574	0.189249	0.458064	12806.2	42.2251	44.0101	3.12295	847.067	0	0	
175629	179.531	0.0601148	0.414244	0.117927	85890.5	69.1537	56.7417	4.45404	677.743	0	0	
167448	133.917	0.632399	0.310836	0.1622	88331.4	63.8962	27.4598	7.55713	259.703	0	0	
279780	323.487	0.532077	0.304154	0.675392	58567.5	41.3137	80.8463	6.23584	431.2	0	0	
167399	80.0864	0.854227	0.797646	0.543573	93823.8	69.4765	99.5368	3.24236	271.623	0	0	
266808	208.157	0.28155	0.670396	0.780439	87835	84.3066	81.1343	7.96128	269.941	0	0	
294701	133.172	0.51961	0.255782	0.480971	54172.3	99.8348	38.6274	4.62842	390.353	0	0	
113433	231.907	0.902982	0.15963	0.39358	43473.3	56.5949	48.0899	6.83519	312.325	0	0	
197800	464.209	0.282762	0.60701	0.454338	29349.5	76.9717	81.8779	7.98052	340.896	0	0	
207202	215.657	0.984323	0.98101	0.076148	36717.9	26.2122	92.2192	4.26159	261.976	0	0	
133469	398.884	0.0705039	0.908085	0.263229	11380.7	78.6125	51.5546	3.72585	324.955	0	0	
131372	160.997	0.907725	0.295926	0.82094	61343.9	56.7966	65.3936	7.80785	267.175	0	0	
192146	296.156	0.849264	0.34792	0.26139	19775.5	26.0659	24.1171	2.97261	622.67	0	0	
293236	483.265	0.907958	0.288823	0.256132	75245.8	39.8865	48.7292	8.36937	372.361	0	0	
171195	159.37	0.581436	0.753644	0.0756619	89757	46.0914	51.5322	2.93491	202.976	0	0	
105059	82.0139	0.718892	0.153849	0.588089	22546.2	57.3259	15.1669	7.30666	100000	0	0	
229992	341.562	0.762052	0.595071	0.0482552	18522	11.8421	38.0333	4.06602	534.028	0	0	
172633	79.65	0.397591	0.901722	0.349103	97506.7	45.6722	41.3643	8.48502	224.706	0	0	
261383	425.442	0.442691	0.532695	0.240742	45197	74.7948	93.5703	3.96596	453.843	0	0	
164208	170.396	0.0392768	0.162617	0.500188	20557.1	15.6615	35.9207	5.24933	466.021	0	0	
134424	468.812	0.118301	0.425239	0.520096	54960.7	12.1625	50.5685	7.71911	682.62	0	0	
215002	315.651	0.670856	0.33217	0.0881653	62690.8	49.6088	73.3046	7.54355	335.401	0	0	



#Generation 2 / 60
currentGen	2
evaluateCount	180
totalTime	1328.11
firstFrontCount	1
frontCount	89
avgEvalTime	90.9712
#end
Var1	Var2	Var3	Var4	Var5	Var6	Var7	Var8	Var9	Obj1	Cons1	Cons2	
215288	416.812	0.696276	0.517733	0.949867	77297.2	26.242	34.1243	4.04155	332.386	0	0	
282032	199.872	0.949534	0.990159	0.931519	77505.3	31.0246	66.3179	3.4153	466.232	0	0	
165718	408.605	0.199632	0.298018	0.92002	16034.9	11.4656	98.7918	6.90338	744.451	0	0	
242471	188.232	0.949534	0.990159	0.95204	77588.1	31.0246	78.4117	4.45695	310.126	0	0	
192935	413.608	0.222667	0.334618	0.798359	70625.9	14.3373	31.9296	4.31208	518.001	0	0	
254356	133.954	0.949534	0.990159	0.95204	77588.1	31.0246	78.4117	3.4153	339.624	0	0	
133469	398.884	0.0705039	0.908085	0.263229	11380.7	78.6125	51.5546	3.72585	324.955	0	0	
241227	268.95	0.52888	0.939388	0.700747	100000	90.8919	31.5505	6.3027	NaN	0	0	
242677	500	0.630091	0.549273	0.75147	63525.7	57.1256	28.2783	4.10477	385.329	0	0	
190927	464.209	0.14139	0.60701	0.454338	56548.7	76.9717	72.4761	7.98052	371.594	0	0	
211640	413.22	0.735907	0.847564	0.710133	66306.8	49.6764	12.6489	3.72714	277.446	0	0	
252162	500	0.619109	0.460903	0.669627	82972.2	58.4268	76.9132	3.1548	382.976	0	0	
285306	460.546	0.314032	0.551031	0.843017	55959.2	48.3122	57.5808	7.30671	338.493	0	0	
178692	350.854	0.270238	0.747842	0.912679	12303	56.5042	61.334	3.4355	452.875	0	0	
