P,q
0.001058105,3.01164E-05
0.001208811,6.69588E-05
0.002600244,0.001713247
0.003439555,0.002637581
0.004549018,0.003977144
0.00568598,0.00540403
0.006953517,0.007067149
0.008196262,0.002243665
0.010462165,0.009740404
0.011665168,0.011278823
0.019567001,0.019677052
0.022758934,0.02475681
0.034146517,0.03832629
0.045364891,0.051838501
0.056810806,0.06432566
0.06795213,0.076499922
0.079450714,0.09009613
0.090760298,0.10315261
0.102088725,0.116019449
0.113407875,0.128384484
0.170234514,0.183964265
0.22720675,0.237376395
0.283843178,0.287392786
0.340508412,0.336731503
0.396898401,0.384337133
0.454753112,0.431663338
0.511492193,0.474515506
0.568028044,0.517249761
0.682950667,0.596638235
0.796637226,0.673686465
0.910546423,0.745558243
1.024288072,0.815725561
1.131669077,0.907855827
