P,q
0.000114594,0.059063664
0.000240838,0.102981571
0.000437949,0.152213405
0.000680328,0.200024414
0.000892894,0.23568512
0.001103709,0.266398683
0.002238815,0.40432478
0.003378225,0.515426553
0.004455719,0.606940306
0.005637689,0.698136783
0.006949093,0.78071547
0.007929143,0.835632716
0.008999453,0.908512124
0.010510819,0.996491761
0.011383636,1.037956611
0.016648695,1.276117195
0.023138722,1.514332244
0.034129431,1.821550057
0.045507448,2.064684426
0.056455458,2.249514658
0.067809223,2.415815414
0.077954056,2.53886009
0.090878727,2.665941993
0.102162042,2.764935685
0.113479565,2.853413515
0.168303794,3.125173398
0.228677861,3.31667857
0.28590797,3.442388762
0.344101827,3.531710938
0.397594551,3.598559254
0.454397551,3.66236551
0.511625524,3.716161678
0.567819809,3.762853559
0.682851391,3.824055114
0.79554796,3.877259347
0.909806737,3.926152567
1.023324121,3.970039063
1.130353837,4.059322275
