P,q_CO2,CO2_err,q_CH4,CH4_err
1.0,0.0001483554,8.82361e-05,3.5323e-06,1.41291e-05
2.0,0.0002454928,0.0001285281,7.0645e-06,1.32165e-05
3.0,0.0004026789,0.0001009018,1.58952e-05,1.32165e-05
4.0,0.0005210099,0.0001326367,1.23629e-05,2.3957e-05
5.0,0.0006181474,0.0001363475,3.00243e-05,4.26806e-05
6.0,0.0008159546,0.0001703566,3.70888e-05,5.28662e-05
7.0,0.0009325195,0.0001437422,3.8855e-05,4.55101e-05
8.0,0.0009890358,0.0001358892,4.94518e-05,4.1193e-05
9.0,0.0011497542,0.0001753373,5.29841e-05,5.47217e-05
10.0,0.0012151012,0.0001051407,6.00486e-05,4.23872e-05
20.0,0.0026686306,0.0002486177,0.0001200972,4.1193e-05
30.0,0.0039031593,0.0010196584,0.000169549,5.28662e-05
40.0,0.0052754465,0.0004846554,0.0002048717,6.45546e-05
50.0,0.0065894512,0.001520781,0.0002490251,8.68105e-05
60.0,0.0079511416,0.0012690442,0.0003090737,7.81901e-05
70.0,0.0087370719,0.0011999639,0.0003744207,7.11733e-05
80.0,0.0105862157,0.0017632153,0.0003920821,8.40354e-05
90.0,0.0120927292,0.0023932953,0.0004503645,0.0001011488
100.0,0.0135303634,0.0017892059,0.0005210099,8.1319e-05
200.0,0.0262041511,0.0026707939,0.0010490844,0.0002271116
300.0,0.0427192834,0.0059459104,0.001513578,0.0003100762
400.0,0.0501211569,0.0056714609,0.0020875721,0.0002121128
500.0,0.0659386656,0.0068198079,0.002620945,0.0004087984
600.0,0.078803196,0.0127016569,0.0031790437,0.0001637847
700.0,0.0905179722,0.0077445116,0.0037230135,0.0001467487
800.0,0.1037904798,0.0137164703,0.0041592489,0.0002168826
900.0,0.1163247429,0.0133567412,0.0047632672,0.0002352609
1000.0,0.13000876,0.0116200469,0.005178309,0.0003242386
2000.0,0.2391947835,0.0154667544,0.0103106985,0.0006636158
3000.0,0.3388948937,0.0447247911,0.0157274359,0.0005609531
4000.0,0.4433812309,0.0491917577,0.0205754776,0.0008141099
5000.0,0.5659810529,0.0459696049,0.0259904487,0.0016028649
6000.0,0.6394240279,0.0390972275,0.0316597434,0.0016493625
7000.0,0.6994461399,0.0499020611,0.0361086385,0.0020253808
8000.0,0.7583838448,0.0727758162,0.0401760484,0.0012263442
9000.0,0.8769091924,0.1086911053,0.0463734175,0.0022387353
10000.0,0.932713773,0.0294083492,0.0504249322,0.0030674147
20000.0,1.47375876,0.0834045734,0.093241353,0.0030378227
30000.0,1.8052941675,0.0595239396,0.1270822737,0.0026169574
40000.0,2.093476249,0.1093599528,0.1528148666,0.0022710331
50000.0,2.2538660704,0.0621793185,0.178722307,0.0073579363
60000.0,2.459371821,0.0771517939,0.1976958997,0.0055071671
70000.0,2.5903254634,0.0768545205,0.2140856364,0.0091345275
80000.0,2.6775372301,0.0769472925,0.2267011416,0.0057848525
90000.0,2.7489456172,0.0439744793,0.2368458234,0.0064516557
100000.0,2.8155024302,0.0386324898,0.2503956143,0.0093074324
200000.0,3.2544895162,0.0378800476,0.3093916017,0.0089869536
300000.0,3.4333584125,0.0508843125,0.3374448966,0.0158981675
400000.0,3.527246171,0.0240115784,0.3462967673,0.0093016999
500000.0,3.5794796259,0.0351332928,0.3624498418,0.005906825
1000000.0,3.7287357296,0.0353870729,0.3804502939,0.0210703446
2000000.0,3.8203716655,0.0523119352,0.3970996524,0.0294178478
3000000.0,3.8331743811,0.0585195961,0.4332701057,0.0347399014
4000000.0,3.8395872188,0.0626341382,0.4559490505,0.0302857519
5000000.0,3.8533083249,0.0726011928,0.4700799,0.054565084
