Pressure (bar),CO2 Loading,CO2 Std,CO2 CV,CH4 Loading,CH4 Std,CH4 CV,Selectivity CI
1e-05,7.5e-06,5.45323494512737e-06,72.70979926836493,5.4167e-06,2.684973122982727e-06,49.56842954165317,1.113471937177605
3e-05,2.25e-05,6.845461131118233e-06,30.424271693858813,2.08333e-05,5.6161070434884845e-06,26.95735694051583,0.5147541985893547
5e-05,3.75e-05,9.005731559380728e-06,24.015284158348614,3.70833e-05,1.0697925942353192e-05,28.84836555094393,0.4192994542410973
7e-05,4.79167e-05,1.1232133536977783e-05,23.440958031287177,5.41667e-05,2.0905946789636004e-05,38.59557032205396,0.43921330213995546
0.0001,6.83333e-05,1.622148103677297e-05,23.738764316625964,7.66667e-05,2.5330236045117036e-05,33.03942395475094,0.4429240205280075
0.0003,0.0001925,3.923227985522912e-05,20.380405119599544,0.00021375,1.4490300454192803e-05,6.779087931786107,0.3780839474401316
0.0005,0.00032375,3.911725445638655e-05,12.082549639038318,0.0003658333,1.5684856942172697e-05,4.287432812205093,0.2263404786981143
0.0007,0.0004604167,3.942704975326926e-05,8.563340502911657,0.0005054167,2.9305297955118374e-05,5.798244884887732,0.15786458063833367
0.001,0.0006658333,7.409939415438227e-05,11.128820705480226,0.0007191667,4.242173762313551e-05,5.898734969671915,0.20336425912687067
0.003,0.0019975,5.056252329121968e-05,2.5312902774077433,0.0021491667,0.00010618914448148237,4.94094499423811,0.04615981434208373
0.005,0.0033854167,0.0001329176479625295,3.9261827934661486,0.0036829167,0.0001611475228784692,4.37554080108489,0.0720243265286206
0.007,0.0047079167,0.00021279151045880672,4.519865664972507,0.0051095833,0.0002501754900326342,4.896201418863926,0.08280952776780558
0.01,0.0067454167,0.00022124176922377686,3.279882905140269,0.0072533333,0.00037146034876221745,5.121236449484782,0.05979211997952902
0.03,0.0205433333,0.000982610913612576,4.7831133305546665,0.0219479167,0.00027736514225904104,1.2637424592514561,0.08689521706899284
0.05,0.0345545833,0.0015008141094482084,4.343314160145606,0.0364108333,0.00030633132471757175,0.8413191815568026,0.0783303960197601
0.07,0.0484045833,0.0012093820375307144,2.498486620647583,0.0505495833,0.0003495041105331499,0.6914084898760182,0.04484831168839845
0.1,0.0685166667,0.001849536723889222,2.6993968226554457,0.0717025,0.0002511533670227944,0.3502714229249948,0.0485075584096336
0.3,0.2049558333,0.0075314375705656635,3.6746636820732355,0.2117091667,0.0019819064707572646,0.936145799282136,0.06558746326904935
0.5,0.3337608333,0.005856216039022413,1.7546145187618731,0.3436841667,0.0032312315613360564,0.940174693632768,0.031267016239678154
0.7,0.4608266667,0.0089727798435123,1.9471051681463596,0.4712991667,0.004037280259825272,0.8566279223648948,0.03457587832795153
1.0,0.6519341667,0.023929678492160007,3.670566709716827,0.6530908333,0.006578936729950109,1.0073540148630515,0.06450120720831687
3.0,1.6339966667,0.044512516197747265,2.724149755314018,1.6131266667,0.019534332301287736,1.2109608442125281,0.04752334795150759
5.0,2.3534875,0.05043113609324174,2.142825746609733,2.2496541667,0.0071639339183136325,0.31844600936251244,0.03680096641177787
7.0,2.8772166667,0.020136717093026304,0.6998679427268141,2.68079,0.025127101593511055,0.9373021233856832,0.011875532892568052
10.0,3.46997,0.036855927046290926,1.0621396451926364,3.2010858333,0.03742634516810115,1.1691765581155418,0.017939999380641707
30.0,5.1112233333,0.08165232592838165,1.5975104315323236,4.4775008333,0.04273061352232748,0.95434071624358,0.026366079243085726
50.0,5.5933291667,0.039880105398560434,0.7129940722242392,4.8711108333,0.02248897401410695,0.461680605999915,0.011737696338624145
