Pressure (bar),CO2 Loading,CO2 Std,CO2 CV,CH4 Loading,CH4 Std,CH4 CV,Selectivity CI
1e-05,1.88889e-05,4.819709201502159e-06,25.516092527898177,2.2222e-06,1.3046683368719055e-06,58.7106622658584,0.3189579666030442
3e-05,5.94444e-05,5.5080894945754005e-06,9.265951871960016,7.2222e-06,3.0515561692940215e-06,42.252446197751674,0.11587944150451489
5e-05,9.79167e-05,6.407188585528307e-06,6.543509519344817,1.18056e-05,3.164326168159285e-06,26.803603104961077,0.08182368905005678
7e-05,0.0001390278,5.63390859330936e-06,4.052361177627323,1.59722e-05,5.834719741288717e-06,36.530470074809465,0.05063955553505007
0.0001,0.0001947222,1.4614186352946213e-05,7.505146487121762,2.19444e-05,6.391561885685548e-06,29.126163785227888,0.09376356642477113
0.0003,0.0005918056,3.0690435741180564e-05,5.185898163380097,6.51389e-05,8.47297386474155e-06,13.007548277206936,0.0647699214211622
0.0005,0.0009966667,2.8420617314020386e-05,2.851566859213856,0.0001051389,1.6752869381425928e-05,15.934035244258716,0.035597634613343386
0.0007,0.0013877778,1.6708003031877392e-05,1.2039393505125526,0.00015375,2.7862003069641382e-05,18.12162801277488,0.015037932672037272
0.001,0.0019908333,2.6317054085187283e-05,1.3219114872745639,0.0002209722,1.2684852772359939e-05,5.740474490619154,0.016511849175249244
0.003,0.0058911111,5.2485493421869975e-05,0.8909268986943732,0.0006440278,2.345213226401527e-05,3.64147825047541,0.011126442686402449
0.005,0.0098997222,0.000221737957218784,2.239840196917687,0.0010863889,5.167894627998579e-05,4.756947192666069,0.027973764653099392
0.007,0.0139797222,0.0002497729816866844,1.7866805800095542,0.0015148611,4.802342621676909e-05,3.1701537663597734,0.022310859619363337
0.01,0.0200502778,0.00017371356440202466,0.8663898133223106,0.0021969444,3.1169547136359554e-05,1.4187681370707224,0.010820300815504065
0.03,0.0609508333,0.0007607264359452664,1.2480984996562245,0.0066075,0.00013680152727344833,2.070397688587943,0.015585486937347482
0.05,0.1017859722,0.0015341403828128663,1.5072218201133085,0.0110640278,0.00011387619200413222,1.0292471608226816,0.018821849133343053
0.07,0.1424172222,0.0016608294215380705,1.166171756394551,0.0156058333,0.00011062986593679807,0.7089007284013348,0.014564273378731458
0.1,0.2037248611,0.0007634638471177215,0.3747524200018814,0.0221491667,0.0002107950787288956,0.9517065882613797,0.004679835520491006
0.3,0.6106783333,0.007808823414174497,1.278713029161681,0.0666741667,0.000644683690612935,0.9669167573007478,0.015969110339987998
0.5,0.9998505556,0.01775287949761343,1.7755532962583702,0.1066280556,0.0011189642606905341,1.0494088581040713,0.022167863449577288
0.7,1.3444983333,0.02176793939576229,1.6190380349772568,0.1421716667,0.00397838790001787,2.7982986992849748,0.02021185152221937
1.0,1.7599863889,0.019031689834845527,1.08135437608358,0.1846297222,0.0026935461399464618,1.4588908588773588,0.01349830148428693
3.0,2.935225,0.015017927274983611,0.5116448406845681,0.2909011111,0.0035452601634261742,1.2187166112980083,0.006383009809335715
5.0,3.2307422222,0.008873916399257106,0.2746711371238508,0.3111755556,0.0018384863917004146,0.590819670316165,0.00342572634579641
7.0,3.3505769444,0.01234900043678942,0.36856340390657105,0.321995,0.007451836853116638,2.3142709834365873,0.0045966657296188556
10.0,3.4440583333,0.006344301187411104,0.18421003866482635,0.3307505556,0.0019040052777411377,0.5756620043425673,0.002297424605307653
30.0,3.5950211111,0.010568136856359182,0.2939659192467317,0.3411461111,0.00808729740772238,2.3706257068695575,0.0036658785838542167
50.0,3.6353288889,0.008739064826364034,0.24039268779910455,0.3415969444,0.0067319208326107206,1.970720447876091,0.0029975374584418216
