P,q_CO2,q_CH4
1.0,4.666e-06,0.0
2.0,1.51646e-05,2.333e-06
3.0,1.57478e-05,2.333e-06
4.0,2.15804e-05,6.4158e-06
5.0,2.91627e-05,4.0828e-06
6.0,3.84947e-05,1.10818e-05
7.0,4.78268e-05,4.666e-06
8.0,3.67449e-05,1.22483e-05
9.0,5.0743e-05,1.10818e-05
10.0,5.36593e-05,1.34148e-05
20.0,0.0001189836,2.44966e-05
30.0,0.00019364,3.96612e-05
40.0,0.0002222194,4.78268e-05
50.0,0.0003266217,6.70741e-05
60.0,0.00038728,6.59076e-05
70.0,0.00043569,7.64062e-05
80.0,0.0004858498,8.04889e-05
90.0,0.0005651722,0.0001108181
100.0,0.0006345793,0.0001230664
200.0,0.0012563271,0.0002309682
300.0,0.0019329007,0.0003750317
400.0,0.0026193896,0.0004934321
500.0,0.0032078919,0.0005978344
600.0,0.003798144,0.0007162348
700.0,0.0044333066,0.000850383
800.0,0.0051682055,0.0009308719
900.0,0.0058156164,0.0010895167
1000.0,0.0063242131,0.001228331
2000.0,0.0127429132,0.0024018362
3000.0,0.0196532957,0.0036861595
4000.0,0.0265514299,0.0049500689
5000.0,0.0330243725,0.0060565
6000.0,0.0385396136,0.0072830812
7000.0,0.0449448989,0.0085674045
8000.0,0.0525709329,0.0098359799
9000.0,0.057998686,0.0108496738
10000.0,0.0642289954,0.0119146939
20000.0,0.1280660448,0.0243665638
30000.0,0.1888590963,0.0360228766
40000.0,0.254508313,0.0475502904
50000.0,0.3177411122,0.0605241719
60000.0,0.3814451798,0.0714397532
70000.0,0.4442580368,0.0838053017
80000.0,0.5013083533,0.0933514048
90000.0,0.5513742142,0.102756944
100000.0,0.6148473137,0.1134794686
200000.0,1.1753453558,0.2180987396
300000.0,1.6323404733,0.2960825924
400000.0,1.9609919175,0.356230566
500000.0,2.2202922378,0.3966062603
1000000.0,2.8577569393,0.4937330623
2000000.0,3.1866370187,0.5667540146
3000000.0,3.2945802491,0.597855985
4000000.0,3.332899393,0.6226879848
5000000.0,3.357005826,0.6462479096
