P,q_CO2,CO2_err,q_CH4,CH4_err
1.0,8.7488e-06,1.91677e-05,0.0,0.0
2.0,2.09971e-05,3.24532e-05,0.0,0.0
3.0,3.32454e-05,3.8969e-05,1.7498e-06,6.999e-06
4.0,4.3744e-05,4.82375e-05,0.0,0.0
5.0,5.77421e-05,8.39884e-05,0.0,0.0
6.0,6.29913e-05,9.08528e-05,0.0,0.0
7.0,7.52396e-05,8.68558e-05,3.4995e-06,8.572e-06
8.0,8.39884e-05,7.39053e-05,3.4995e-06,8.572e-06
9.0,9.79865e-05,7.20595e-05,3.4995e-06,8.572e-06
10.0,0.0001154841,8.74179e-05,3.4995e-06,8.572e-06
20.0,0.0002292185,7.61899e-05,1.22483e-05,2.37349e-05
30.0,0.000334204,0.0001069502,1.04986e-05,2.04055e-05
40.0,0.0004374398,8.2071e-05,1.22483e-05,1.78441e-05
50.0,0.0005651722,0.0001087669,1.74976e-05,2.92791e-05
60.0,0.0006841559,0.0001361668,2.09971e-05,3.24532e-05
70.0,0.0008381347,0.0001836497,2.44966e-05,3.20736e-05
80.0,0.0009501193,0.0002164616,2.97459e-05,3.24532e-05
90.0,0.0010901,0.0002792168,3.84947e-05,3.05081e-05
100.0,0.0011705889,0.0002239145,3.84947e-05,2.84302e-05
200.0,0.0021994474,0.000139367,7.17401e-05,5.57731e-05
300.0,0.0034802711,0.0005267211,0.0001172339,7.05133e-05
400.0,0.0047121016,0.0006237198,0.0001732262,0.0001631692
500.0,0.0059194355,0.0003743994,0.0001907238,7.8564e-05
600.0,0.0071827617,0.0002305436,0.0002607141,4.19942e-05
700.0,0.0080908867,0.0005205232,0.0002957093,0.0001004551
800.0,0.0094172042,0.0007076127,0.0003254552,4.19942e-05
900.0,0.0102850848,0.0002236956,0.0003971953,0.0001507639
1000.0,0.0118301222,0.0009955746,0.000377948,0.0001747658
2000.0,0.0237407333,0.0014724866,0.0007908912,0.0001158547
3000.0,0.0346767285,0.0032620806,0.0011863368,0.0001654795
4000.0,0.0476476937,0.002715712,0.0015660345,0.0003130064
5000.0,0.0599957446,0.0051099273,0.0019457323,0.000186692
6000.0,0.0705922865,0.0057659641,0.0022396918,0.0003008365
7000.0,0.0843033999,0.0066749772,0.0026298881,0.0002987121
8000.0,0.0944012604,0.0063566747,0.0030165849,0.0001694287
9000.0,0.1096819078,0.0036783485,0.0035082673,0.0004268839
10000.0,0.1183029715,0.0095723595,0.0037322364,0.0003253988
20000.0,0.2407966164,0.0255551832,0.0076027039,0.0010326248
30000.0,0.3596297649,0.0124767006,0.0113629365,0.0003251729
40000.0,0.4613187725,0.0379215685,0.0153523875,0.0005650828
50000.0,0.5847572874,0.0179808535,0.0188361581,0.0007554422
60000.0,0.7092141621,0.0252626198,0.0225054033,0.0010062926
70000.0,0.8053669315,0.0524614955,0.0254082538,0.0017093778
80000.0,0.9058748516,0.0472804532,0.0287590428,0.0020502042
90000.0,1.0217159119,0.0616473812,0.0325332734,0.0014032415
100000.0,1.1350915614,0.0566132512,0.0353031423,0.0007758678
200000.0,1.9155349224,0.0687004566,0.0598172691,0.0044832287
300000.0,2.4784499653,0.0334098986,0.0746744748,0.0033555912
400000.0,2.7929936841,0.0763450103,0.0823016753,0.0042874657
500000.0,3.0354473224,0.0430453105,0.0910014782,0.0034614926
1000000.0,3.5396929383,0.04593719,0.1056242161,0.004655162
2000000.0,3.8104191863,0.0257342525,0.1121140731,0.0053135599
3000000.0,3.8807822544,0.0216098878,0.1219582185,0.0050406187
4000000.0,3.9308621134,0.021275361,0.1233912714,0.0054062679
5000000.0,3.9569072796,0.0191954646,0.1275347012,0.0098127559
