Pressure (bar),CO2 Loading,CO2 Std,CO2 CV,H2S Loading,H2S Std,H2S CV,CH4 Loading,CH4 Std,CH4 CV
1e-05,2.9167e-06,4.027499959473686e-06,138.08413479184304,2.9167e-06,2.684973122982727e-06,92.05516930033006,8.75e-06,7.167016727882611e-06,81.90876260437271
3e-05,1.04167e-05,6.003874739586612e-06,57.637013061589684,1.5e-05,1.2981357319376392e-05,86.54238212917595,2.08333e-05,1.0179989447564876e-05,48.86402753075546
5e-05,1.54167e-05,4.552605404189864e-06,29.530349583178396,1.66667e-05,1.0179989447564876e-05,61.0798145257602,3.875e-05,1.5099419548063602e-05,38.96624399500284
7e-05,2.125e-05,1.3153734317641867e-05,61.89992620066761,4.625e-05,2.6799629130331414e-05,57.94514406558143,4.70833e-05,5.45323494512737e-06,11.58210011857149
0.0001,2.58333e-05,5.02317849945477e-06,19.444587023163013,5.08333e-05,2.0645689742254814e-05,40.6144982565657,6.875e-05,2.101348103855395e-05,30.565063328805746
0.0003,9.25e-05,1.4175913807356287e-05,15.325312224168961,0.0001595833,2.1916043779472006e-05,13.733294009756664,0.0002216667,1.7322921725689837e-05,7.814850731160719
0.0005,0.0001595833,2.6647872931858448e-05,16.69840950266002,0.0002254167,4.388355900842608e-05,19.467749731242666,0.0003795833,5.963938049988471e-05,15.711803048206995
0.0007,0.0002304167,6.827635416297603e-05,29.63168648929354,0.00032,3.333352286458476e-05,10.416725895182736,0.0005191667,3.7337421674295936e-05,7.191798255607676
0.001,0.0003245833,6.5507931240833e-05,20.182163173777887,0.0004829167,3.5860054139161794e-05,7.425722518844719,0.0007275,4.0016836847334584e-05,5.500596130217812
0.003,0.0009916667,7.269983791846517e-05,7.331075846195619,0.0014279167,6.398392525616816e-05,4.480928422236967,0.0021720833,0.00014811066660965126,6.818829950474332
0.005,0.0016358333,3.7337421674295936e-05,2.2824710607306953,0.0024491667,9.733355812059082e-05,3.974149988262981,0.0036683333,0.00010541828098923912,2.8737378086456626
0.007,0.0022479167,8.477436334696646e-05,3.7712413163248644,0.0034141667,0.00013691526387230388,4.0102102768533205,0.0050095833,0.00021122094657461036,4.216337645780046
0.01,0.0033433333,0.0001591075135989966,4.758948609730194,0.00485125,0.00022129477112324352,4.5616031151402945,0.00722375,0.00015901117579996595,2.2012275590927977
0.03,0.00987,0.0004168921593050644,4.223831401267116,0.0146891667,0.0001673877313156777,1.1395318382197794,0.0217129167,0.00034645472921383396,1.5956157986542356
0.05,0.01655875,0.0009282744617593312,5.605945266154336,0.02466375,0.00024099279012503418,0.9771133348539219,0.0362025,0.000474822913222142,1.311574927759525
0.07,0.0230766667,0.0010768331474644744,4.666328813703732,0.0347695833,0.00035451021243277644,1.019598680185438,0.0502895833,0.0005072536316958112,1.008665410229818
0.1,0.0333283333,0.0015519709306334479,4.656611288250192,0.0487183333,0.000554504502870354,1.1381844683721027,0.0714154167,0.0003328046458011866,0.4660123278412329
0.3,0.0997883333,0.0014056583816557033,1.4086400034659194,0.143975,0.0013239323524780633,0.919557112330657,0.2096166667,0.0026272968265130888,1.2533816455889137
0.5,0.1621133333,0.0011343083911361355,0.6997008623818949,0.23482,0.005311608311802473,2.2619914452782868,0.3398225,0.003396847595419561,0.9995946693993366
0.7,0.2270916667,0.008464172327430113,3.72720516363629,0.3201175,0.0035238576258915357,1.1008013076109664,0.4588125,0.001315519871662713,0.28672276183903295
1.0,0.3184558333,0.00956946064815826,3.004956935156339,0.4422025,0.0052478144039943934,1.1867446258206122,0.6300725,0.008684939012758672,1.3784031223007942
3.0,0.8405375,0.034775982124370164,4.137350460196025,1.0548641667,0.011825415212207945,1.1210367728389294,1.4599483333,0.012585276541161915,0.8620357483962967
5.0,1.2481616667,0.02347031352653232,1.8803905097153968,1.4715366667,0.014101037589009721,0.9582525470216149,1.9877866667,0.01190352833227194,0.5988332919061902
7.0,1.5359016667,0.04370748830939778,2.845721783954216,1.7669841667,0.022354644244108633,1.2651298560223048,2.3318391667,0.015344618981346307,0.6580479134443002
10.0,1.9102091667,0.03823535730106054,2.0016319661534445,2.0990266667,0.017682078787025855,0.842394194773374,2.71918,0.01718469172473076,0.6319806605201111
30.0,2.8532325,0.05161304212329893,1.8089322241807821,2.8847891667,0.015320831116685672,0.5310901501412544,3.747595,0.005017223276914693,0.13387848145049538
50.0,3.136245,0.027769053042476687,0.8854235891161784,3.0106075,0.016199557662943575,0.538082684738664,4.1669333333,0.023137109191635155,0.5552550842782918
