Pressure (bar),CO2 Loading,CO2 Std,CO2 CV,H2S Loading,H2S Std,H2S CV,CH4 Loading,CH4 Std,CH4 CV
1e-05,1.11111e-05,1.872062531162558e-06,16.848579629042653,7.3611e-06,3.132508918479443e-06,42.55490237164884,2.3611e-06,1.1409101885197054e-06,48.321129495561614
3e-05,3.29167e-05,7.508145974450033e-06,22.8095342924717,2.01389e-05,2.3467436763861267e-06,11.652789757067797,6.9444e-06,1.872062531162558e-06,26.9578729791279
5e-05,5.65278e-05,1.1936623829888919e-05,21.116377835134074,3.08333e-05,3.288453716910264e-06,10.665266828105535,1.16667e-05,4.819709201502159e-06,41.3116751223753
7e-05,7.81944e-05,9.921021200170719e-06,12.687636455002812,4.16667e-05,4.18594180787938e-06,10.04625230190867,1.55556e-05,6.11124788850618e-06,39.28648132187881
0.0001,0.0001026389,1.5827833190734013e-05,15.420891290469807,5.69444e-05,7.454580224989033e-06,13.090980368550783,2.33333e-05,7.898088520526275e-06,33.84899915796854
0.0003,0.0002956944,1.1634964082924339e-05,3.9347935175384916,0.0001715278,1.379289856121034e-05,8.041202977715765,6.94444e-05,8.401767665458055e-06,12.098553181333637
0.0005,0.0004795833,1.4784469051232763e-05,3.0827739521440307,0.0002856944,2.3885732909652207e-05,8.360588415331978,0.0001130556,1.4747174401608033e-05,13.044178617961458
0.0007,0.0006758333,1.63567244854121e-05,2.4202306227603905,0.0003983333,2.5712767991267847e-05,6.4550887388194385,0.0001577778,1.2425642874968212e-05,7.875406346753606
0.001,0.0009794444,3.7230048525376365e-05,3.8011395568116333,0.0005663889,3.9658711550938185e-05,7.002028385608932,0.0002222222,2.0592285092792193e-05,9.26652921840941
0.003,0.0029306944,2.8332415064907912e-05,0.966747507515895,0.0017068056,6.231106287300116e-05,3.6507416470277088,0.0006558333,3.6660882231103545e-05,5.589969620497091
0.005,0.0049111111,8.176831792721448e-05,1.6649657534160547,0.0028823611,7.847406461036259e-05,2.722561882005783,0.0011083333,5.7547738670931635e-05,5.192277329475856
0.007,0.0068848611,0.00014065568363466627,2.042970534796501,0.0040181944,4.120527153537608e-05,1.0254673476070766,0.0015477778,3.355801571232583e-05,2.168141687542348
0.01,0.0098373611,0.00014547772878614493,1.4788287967404687,0.0058419444,0.00018138885162479284,3.104939711935513,0.00219,6.38358743576579e-05,2.914880107655612
0.03,0.0303030556,0.000568735593427155,1.876825891535357,0.0179295833,0.00014185748962257323,0.791192339771629,0.0066341667,0.00010904319205276378,1.643660718576212
0.05,0.0500619444,0.0006653876180046038,1.3291285945429714,0.0302252778,0.0003897334382783463,1.2894288047812297,0.0110622222,0.00021164028987039074,1.9131806073321396
0.07,0.0709366667,0.001072848339004571,1.5124030898460177,0.0426863889,0.0006168286953932231,1.4450243070179758,0.0156981944,0.0001666578677730219,1.061637176394133
0.1,0.10161625,0.0016153027230961783,1.58961064110925,0.0620215278,0.0014199162953622347,2.289392644342816,0.0224065278,0.00044204333270198324,1.9728328130429171
0.3,0.3100625,0.00527108650701022,1.7000077426358298,0.2013377778,0.0042750509694327275,2.12332281410167,0.0679775,0.0006938117795185885,1.0206491552625332
0.5,0.5149433333,0.007703974541129527,1.4960820041612775,0.3504647222,0.008069403789252432,2.302486749193392,0.1120319444,0.0005869026791443506,0.5238708319199274
0.7,0.7040502778,0.009952109472357895,1.4135509616523434,0.5028969444,0.012785707573695099,2.5424110677287106,0.1519188889,0.002634304676442573,1.7340204997000692
1.0,0.9336208333,0.0023317163490873378,0.24974981983270378,0.6963755556,0.012117159495922297,1.7400322855218693,0.197295,0.0025109235039840836,1.2726746769984458
3.0,1.5720361111,0.010950621036360474,0.6965883899892097,1.2976561111,0.010986049745253974,0.8466071751429811,0.31945,0.003657819926793553,1.145036759052607
5.0,1.7140822222,0.008774443352608043,0.511903293725675,1.4557941667,0.010992400146090075,0.7550792823279193,0.3466733333,0.003662122827200256,1.0563612702310659
7.0,1.7735008333,0.011919047981165774,0.6720632862059437,1.5316580556,0.016775703856296162,1.0952642983831387,0.3605338889,0.002854395708377929,0.7917135659803793
10.0,1.8096475,0.022427655246673967,1.239338337807444,1.5796652778,0.02593604469512115,1.64186964539996,0.372855,0.00130910817227723,0.35110382649481164
30.0,1.8946505556,0.016786858661833916,0.8860134451821294,1.6076983333,0.016661923277141066,1.0363836879111772,0.4194794444,0.003821347218848076,0.910973653146203
50.0,1.9297858333,0.01160255422690046,0.6012353301951489,1.56882,0.01261830107422961,0.8043179634521238,0.4604861111,0.004438714310435882,0.9639192591135419
