P,q_H2S,H2S_err,q_CO2,CO2_err,q_CH4,CH4_err
1.0,1.1665e-06,4.666e-06,3.4995e-06,4.3647e-06,1.7498e-06,4.666e-06
2.0,1.1665e-06,2.8573e-06,2.333e-06,6.8018e-06,1.7498e-06,4.666e-06
3.0,5.2493e-06,1.06912e-05,6.999e-06,1.08177e-05,1.7498e-06,2.8573e-06
4.0,9.332e-06,1.35033e-05,1.39981e-05,9.332e-06,7.5823e-06,1.01694e-05
5.0,7.5823e-06,8.7293e-06,1.86641e-05,2.77521e-05,6.4158e-06,1.00347e-05
6.0,6.999e-06,7.9116e-06,1.45813e-05,1.69043e-05,8.7488e-06,8.2484e-06
7.0,1.34148e-05,1.82959e-05,1.63311e-05,1.40949e-05,4.666e-06,4.666e-06
8.0,2.04139e-05,9.7597e-06,2.62464e-05,1.52094e-05,1.45813e-05,2.18233e-05
9.0,2.27469e-05,1.74587e-05,2.39134e-05,2.16355e-05,1.22483e-05,2.16355e-05
10.0,2.09971e-05,1.62476e-05,3.03292e-05,5.948e-06,1.16651e-05,1.52094e-05
20.0,4.31607e-05,2.74563e-05,6.82406e-05,1.75364e-05,2.21636e-05,1.90251e-05
30.0,6.64909e-05,1.00347e-05,9.33205e-05,1.33002e-05,4.72435e-05,2.13187e-05
40.0,6.70741e-05,3.51891e-05,0.0001306487,3.00588e-05,5.19095e-05,3.62181e-05
50.0,9.85698e-05,5.07665e-05,0.0001621444,2.37922e-05,4.95765e-05,1.76909e-05
60.0,0.0001073186,2.84302e-05,0.0001848912,1.67425e-05,8.04889e-05,1.79202e-05
70.0,0.0001417305,3.69987e-05,0.0002064716,4.61323e-05,9.2154e-05,2.20096e-05
80.0,0.000140564,2.72074e-05,0.0002362175,6.92083e-05,8.51549e-05,3.94548e-05
90.0,0.0001592281,6.33145e-05,0.0002916265,3.67033e-05,0.0001073186,1.58233e-05
100.0,0.0001808085,4.53289e-05,0.0003447026,6.98347e-05,0.000138231,5.19848e-05
200.0,0.0003581174,5.9868e-05,0.0006019172,0.0001105168,0.0002455495,2.37349e-05
300.0,0.0005727545,4.64557e-05,0.0009600346,0.000129077,0.0003680327,9.52972e-05
400.0,0.0007763098,6.71527e-05,0.0012994879,0.0001447878,0.0004887661,7.99376e-05
500.0,0.0009792819,0.0001781129,0.001601613,0.0002585173,0.0005809201,4.14725e-05
600.0,0.0012055841,0.0001481784,0.0018979055,0.0001366058,0.0007156515,5.60166e-05
700.0,0.0013210682,0.0001626011,0.0022496071,0.0001748048,0.0008760461,7.41993e-05
800.0,0.001516458,0.0001848829,0.0025219863,0.0002285102,0.0010107776,0.0001254523
900.0,0.0016780191,0.0001133133,0.0029460113,0.0002208181,0.001046356,7.7588e-05
1000.0,0.0020227217,0.0001663079,0.0030620787,0.0001864221,0.001191586,0.0001159251
2000.0,0.0039229602,0.0002243031,0.0062408079,0.0004504738,0.0025021557,0.000172351
3000.0,0.0059176857,0.0002740023,0.0097146633,0.0002956213,0.0036604963,0.000309188
4000.0,0.0079252428,0.0006571748,0.0130077101,0.0004985036,0.0047622614,0.0002238963
5000.0,0.0100844457,0.000677729,0.0158102412,0.000267931,0.0061883152,0.0002815367
6000.0,0.011507,0.001067174,0.0192409358,0.0005443398,0.0073239089,0.0003852403
7000.0,0.0137297774,0.0014933648,0.0227946968,0.0010695189,0.0084799165,0.0005311306
8000.0,0.0162138523,0.0011587899,0.0263402922,0.0010186371,0.0098336469,0.0008486843
9000.0,0.0175629167,0.0007511575,0.0286178955,0.0016261255,0.0108374254,0.0001579916
10000.0,0.0202843755,0.0010735191,0.0324364534,0.002458586,0.0122022376,0.0006882327
20000.0,0.0402946221,0.0023181809,0.0636731552,0.0041487139,0.0244552183,0.0011017489
30000.0,0.0611925799,0.0021954545,0.0966992775,0.0041530643,0.0363757447,0.0016762275
40000.0,0.0819727206,0.0031804666,0.1280211343,0.0053447232,0.048319018,0.00241762
50000.0,0.1036469882,0.0046729281,0.1628541746,0.0046959293,0.0607843027,0.0024321399
60000.0,0.1238497083,0.0077253367,0.1907085918,0.0048941049,0.0726494201,0.0039633965
70000.0,0.1471308381,0.0049728561,0.222957821,0.0055699068,0.0854401601,0.0033449498
80000.0,0.1636818107,0.0069700431,0.2524185172,0.0177189922,0.095515857,0.0052167407
90000.0,0.187325724,0.0090240048,0.2832796041,0.0162659044,0.1058808475,0.0031277791
100000.0,0.2103245593,0.0078493985,0.3161523308,0.0054175389,0.1185351062,0.0041620237
200000.0,0.4253268084,0.013322759,0.5976425144,0.0146221997,0.2267256359,0.0047363187
300000.0,0.6317418223,0.0114253755,0.8600049133,0.0117295623,0.3159960189,0.0057068178
400000.0,0.7958511575,0.0267720905,1.060818948,0.019028302,0.3813110316,0.0077942092
500000.0,0.9176507313,0.0106511106,1.2013811899,0.0298092151,0.4272509603,0.00839417
1000000.0,1.2440204894,0.0255326153,1.5343002969,0.0114368671,0.5463798181,0.0041457832
2000000.0,1.4084331163,0.0320262948,1.7153992111,0.0348033435,0.6187055328,0.0141149961
3000000.0,1.4568705346,0.033659072,1.7659678362,0.0338236205,0.6622646224,0.0051293832
4000000.0,1.4463498156,0.0264030941,1.813037526,0.0239150071,0.6922070856,0.0090201988
5000000.0,1.4578964768,0.0243732954,1.8072207431,0.0189703776,0.7262084071,0.0061349142
