P_H,t_ads,alpha,v_0,beta,P_L,t_depres,t_pres,Obj1,Obj2,Pu,Rec
547174.0,70,0.841048,0.714953,0.0574714,118570,31,43,0.0217016,0.692203,0.8526853707196735,0.16801262028802388
569424.0,34,0.461438,0.514841,0.382617,196525,36,17,0.0167939,0.233889,0.8704087194291221,0.5163792808408638
871626.0,443,0.277259,0.455893,0.473556,130490,17,18,0.0116988,0.0337242,0.8918390088802807,0.816358501421928
399784.0,220,0.840288,0.481808,0.0966846,53680,11,40,0.00995609,0.618058,0.9002197915416088,0.2138333509999295
260639.0,159,0.616387,0.798821,0.789993,115187,48,25,0.0109479,0.0351268,0.8953677869869895,0.8125785497868507
579624.0,255,0.473899,0.683774,0.621707,164660,12,22,0.0112661,0.0463376,0.8938581138287057,0.7847382988081717
638062.0,141,0.590775,0.238791,0.630166,83723,24,50,0.020516,0.177344,0.856765925841649,0.5788776899759406
376692.0,395,0.671819,0.516099,0.349096,178144,20,25,0.0107788,0.208115,0.8961790001974552,0.5438037702917746
904940.0,388,0.240909,0.533234,0.610846,106200,43,22,0.0114951,0.0183173,0.8927847958543192,0.8646585798803633
242082.0,344,0.248198,0.452452,0.597293,49926,14,46,0.00941639,0.0295737,0.9029619146932505,0.8280299444670671
666510.0,92,0.0903138,0.147152,0.904379,125260,38,30,0.0145501,0.150909,0.879376204669228,0.6115299239323575
399400.0,497,0.233586,0.427312,0.019544,66964,14,16,0.0113321,0.0746569,0.8935476632478179,0.726765851328938
735589.0,165,0.591238,0.373212,0.878195,190047,14,10,0.0136747,0.0311901,0.8830611270791444,0.8233928087534372
470370.0,281,0.913143,0.22014,0.639731,22145,20,12,0.00953207,0.218344,0.9023676795318272,0.5327270604881982
429644.0,409,0.365684,0.192453,0.830576,81625,30,23,0.0128621,0.0352756,0.8865888012584295,0.8121820029922585
708062.0,43,0.203175,0.58757,0.109579,124517,22,47,100000.0,100000.0,-315.22776601683796,-315.22776601683796
434837.0,354,0.726494,0.247162,0.396055,120789,44,49,0.0131688,0.248022,0.8852446079698213,0.5019819280387507
621039.0,110,0.249665,0.381867,0.124833,189509,22,13,0.0136135,0.11006,0.8833230956872784,0.6682470798922788
222035.0,367,0.623059,0.638916,0.217004,180648,21,42,0.0102325,0.244119,0.8988441796039397,0.5059159990446969
617684.0,129,0.244524,0.668796,0.329732,135338,50,23,0.0132039,0.0594267,0.8850917757512544,0.756224078301404
399493.0,129,0.803108,0.343962,0.438852,93172,42,16,0.0194411,0.326748,0.8605686548870736,0.4283812459339704
645269.0,87,0.734871,0.328508,0.413286,28881,45,21,0.0183043,0.387988,0.8647066150914983,0.3771131723980672
898163.0,169,0.441591,0.590748,0.435819,87589,27,14,0.0135807,0.103027,0.8834637395485851,0.6790218075943476
548632.0,312,0.42342,0.633725,0.613127,62642,10,43,0.0109482,0.0434487,0.8953663534038883,0.7915564824706702
203564.0,109,0.81047,0.342389,0.64051,73812,21,25,0.00686729,0.196291,0.9171308863327234,0.5569525984728045
