P_H,t_ads,alpha,v_0,beta,P_L,t_depres,t_pres,Obj1,Obj2,Pu,Rec
756233.0,268,0.602991,0.548953,0.945654,157896,10,14,100000.0,100000.0,-315.22776601683796,-315.22776601683796
354945.0,380,0.595395,0.298149,0.919587,162597,40,32,100000.0,100000.0,-315.22776601683796,-315.22776601683796
515474.0,131,0.713945,0.72196,0.103197,54144,10,27,0.0017095,0.442051,0.9586538998211439,0.33513083993916515
781678.0,335,0.81248,0.525463,0.756621,142125,45,14,100000.0,100000.0,-315.22776601683796,-315.22776601683796
586463.0,171,0.774509,0.658676,0.77012,35678,31,21,0.00599412,0.0547334,0.9225782976162369,0.7660482955821865
701385.0,147,0.312543,0.7024,0.726901,79110,11,40,100000.0,100000.0,-315.22776601683796,-315.22776601683796
748623.0,410,0.536115,0.637597,0.710272,143541,36,24,100000.0,100000.0,-315.22776601683796,-315.22776601683796
773448.0,248,0.215487,0.31212,0.421376,74937,22,11,0.00422888,0.033209,0.9349701606952624,0.8177666331321292
634579.0,183,0.849805,0.166362,0.559303,22761,17,26,100000.0,100000.0,-315.22776601683796,-315.22776601683796
882912.0,456,0.695958,0.653117,0.0672118,28137,35,19,100000.0,100000.0,-315.22776601683796,-315.22776601683796
529773.0,224,0.514375,0.639265,0.976256,101600,13,30,0.00858511,0.00231082,0.907344131324562,0.9519290108277352
242993.0,454,0.901087,0.73717,0.156215,152439,18,21,100000.0,100000.0,-315.22776601683796,-315.22776601683796
776471.0,361,0.480937,0.571529,0.13165,125572,43,17,0.00695765,0.186366,0.9165874709650882,0.5682987143869038
918659.0,471,0.199885,0.549207,0.696201,154904,41,27,100000.0,100000.0,-315.22776601683796,-315.22776601683796
483377.0,467,0.608358,0.719479,0.633422,132948,12,26,0.00846715,0.0553218,0.9079828820273097,0.7647941327262434
273521.0,151,0.197821,0.741045,0.533647,181275,26,26,100000.0,100000.0,-315.22776601683796,-315.22776601683796
488318.0,86,0.568467,0.192041,0.458468,169963,30,22,0.00162587,0.218987,0.9596779216805482,0.5320395315841305
509909.0,466,0.967409,0.210491,0.118252,60354,37,24,100000.0,100000.0,-315.22776601683796,-315.22776601683796
445027.0,234,0.848178,0.136768,0.41655,60141,37,50,100000.0,100000.0,-315.22776601683796,-315.22776601683796
514852.0,223,0.300677,0.195264,0.544569,72630,38,45,100000.0,100000.0,-315.22776601683796,-315.22776601683796
925113.0,430,0.789323,0.705259,0.833566,95018,15,47,100000.0,100000.0,-315.22776601683796,-315.22776601683796
228111.0,297,0.0656028,0.761538,0.338687,167172,27,35,0.00979496,0.00315047,0.9010305097517421,0.9438709522617745
577246.0,30,0.685446,0.14433,0.244894,191995,41,26,0.000358455,0.609736,0.9810670921409309,0.21914405938098935
234142.0,52,0.504021,0.272812,0.549363,163782,26,10,0.00647629,0.14465,0.9195246000320595,0.6196711948852678
533252.0,166,0.284505,0.714853,0.459675,174814,34,41,0.00718652,0.0335456,0.9152266551326421,0.8168454204776741
229693.0,198,0.841056,0.738572,0.0896595,126756,36,34,0.0046865,0.59564,0.9315419836688208,0.22822283008630018
375865.0,229,0.878984,0.289835,0.37541,25954,15,27,100000.0,100000.0,-315.22776601683796,-315.22776601683796
741264.0,342,0.199445,0.339345,0.284655,106020,37,12,0.00621161,0.0318896,0.9211862321672158,0.8214234057890004
280833.0,475,0.465088,0.770036,0.098958,28690,49,43,0.00535781,0.190273,0.9268029372173993,0.5637970655761243
779070.0,329,0.418578,0.196949,0.833694,68144,44,24,0.00331329,0.0176067,0.9424388151616039,0.8673097592134222
361347.0,261,0.3499,0.754568,0.308621,73088,24,31,0.00543363,0.0714171,0.9262868397095878,0.7327602200270327
625381.0,405,0.468216,0.31283,0.0682596,43997,39,35,0.00296276,0.216865,0.9455687589706059,0.5343123364313802
360460.0,405,0.371426,0.299959,0.376123,35520,29,24,0.00144503,0.0780962,0.9619864497843204,0.7205430265675948
513655.0,53,0.736874,0.73831,0.481068,156599,40,50,100000.0,100000.0,-315.22776601683796,-315.22776601683796
427537.0,202,0.485817,0.766775,0.102386,168973,15,32,0.00639412,0.202681,0.9200367584448954,0.5497989338084592
362294.0,70,0.948938,0.654285,0.111459,51589,41,44,100000.0,100000.0,-315.22776601683796,-315.22776601683796
617659.0,76,0.0970986,0.471536,0.870932,146265,28,15,0.00716962,0.0216235,0.9153263913607079,0.8529506885429246
626695.0,58,0.46679,0.69622,0.0195076,191714,35,27,100000.0,100000.0,-315.22776601683796,-315.22776601683796
712524.0,82,0.94001,0.667242,0.875161,147159,10,31,0.00743769,0.0310884,0.9137579568887657,0.8236809709645609
655456.0,438,0.0864095,0.593801,0.921497,21733,32,12,100000.0,100000.0,-315.22776601683796,-315.22776601683796
504658.0,47,0.270392,0.574569,0.703136,197283,13,44,0.00672699,0.0427978,0.9179817703190322,0.7931237084632461
920568.0,11,0.748293,0.405306,0.968912,177111,47,46,100000.0,100000.0,-315.22776601683796,-315.22776601683796
789435.0,484,0.205716,0.173373,0.851983,191183,43,36,100000.0,100000.0,-315.22776601683796,-315.22776601683796
443641.0,82,0.466734,0.78241,0.282244,20862,27,26,100000.0,100000.0,-315.22776601683796,-315.22776601683796
618510.0,71,0.258973,0.453786,0.781573,150002,44,14,0.00553532,0.0361338,0.92560026881769,0.8099110734419283
490230.0,288,0.138149,0.773281,0.227468,148828,12,24,100000.0,100000.0,-315.22776601683796,-315.22776601683796
525879.0,312,0.871805,0.294185,0.550492,192207,41,25,0.00718019,0.177349,0.9152639982061934,0.5788717535001956
927559.0,77,0.498693,0.20353,0.746329,133585,29,38,0.00111607,0.105728,0.9665923661418532,0.6748415770735747
902477.0,499,0.402943,0.288895,0.490117,20296,13,18,100000.0,100000.0,-315.22776601683796,-315.22776601683796
810604.0,130,0.333538,0.241399,0.643657,118459,10,36,0.00321961,0.0487477,0.9432583926910773,0.7792111868775956
261720.0,174,0.208317,0.336831,0.612657,148207,18,20,0.00822802,0.0222262,0.9092915659930125,0.8509154602247436
369809.0,206,0.484329,0.52804,0.805651,117607,23,27,0.00558979,0.0176092,0.9252351018191023,0.8673003391112095
329048.0,449,0.743535,0.730569,0.621137,126030,18,44,100000.0,100000.0,-315.22776601683796,-315.22776601683796
726115.0,414,0.311684,0.601091,0.591715,193722,21,34,100000.0,100000.0,-315.22776601683796,-315.22776601683796
903879.0,153,0.887777,0.404474,0.357348,185365,42,17,0.00547525,0.360587,0.9260050677410946,0.3995110325742862
549713.0,468,0.577085,0.784066,0.865519,86767,22,10,0.00890975,0.00843386,0.9056085279275717,0.9081639504333946
940391.0,436,0.983504,0.339949,0.582176,195699,15,30,100000.0,100000.0,-315.22776601683796,-315.22776601683796
554735.0,384,0.30563,0.694766,0.908384,49008,22,48,100000.0,100000.0,-315.22776601683796,-315.22776601683796
292494.0,408,0.9069,0.288479,0.970171,174534,14,48,100000.0,100000.0,-315.22776601683796,-315.22776601683796
380553.0,408,0.24212,0.471642,0.633605,154419,20,16,0.00803409,0.0118797,0.910366914590649,0.891005963465885
654083.0,15,0.266169,0.197133,0.592224,139568,48,11,0.000227941,0.580458,0.9849022849410912,0.23812205701962996
818558.0,135,0.433229,0.524106,0.10663,78779,20,14,100000.0,100000.0,-315.22776601683796,-315.22776601683796
465767.0,77,0.961753,0.151766,0.558946,139756,46,47,5.56701e-05,0.380731,0.9925387601566495,0.3829659652823031
397832.0,403,0.483942,0.488774,0.0882914,169716,29,28,0.00714468,0.204745,0.9154737910468002,0.5475124311099806
665987.0,468,0.634537,0.587835,0.726131,80591,21,13,100000.0,100000.0,-315.22776601683796,-315.22776601683796
415555.0,446,0.570959,0.638772,0.143843,111365,31,26,0.00698274,0.24993,0.9164372092376039,0.5000700049006861
226500.0,253,0.377386,0.130276,0.646835,185643,38,42,0.0090588,0.0336472,0.9048222715127116,0.8165682688300631
350257.0,177,0.514946,0.490099,0.746034,103732,50,41,100000.0,100000.0,-315.22776601683796,-315.22776601683796
219129.0,164,0.332357,0.600597,0.641273,137664,30,10,0.00805482,0.0241173,0.9102513509850984,0.8447025434850912
519866.0,254,0.463067,0.337989,0.573021,65676,14,50,0.00252853,0.0604785,0.9497155093493034,0.7540762313236071
208465.0,158,0.46932,0.390958,0.887706,194080,41,20,0.00973193,0.0041745,0.9013494551459547,0.9353896293154109
364514.0,51,0.47112,0.568785,0.566756,154506,20,22,0.00438787,0.104582,0.9337590006114038,0.6766085962799877
982510.0,169,0.275443,0.760555,0.393956,181103,35,17,0.00766999,0.0364119,0.9124215209083876,0.8091809757911963
829914.0,241,0.414268,0.639794,0.635148,199450,44,47,0.00826384,0.0295958,0.9090943346099926,0.8279657010942295
729730.0,449,0.719729,0.635507,0.96611,172061,48,27,100000.0,100000.0,-315.22776601683796,-315.22776601683796
383461.0,250,0.617493,0.431226,0.591777,128197,32,35,0.00516531,0.0808065,0.9281299088632831,0.7157351586987937
764382.0,390,0.887898,0.420197,0.761102,160099,22,42,100000.0,100000.0,-315.22776601683796,-315.22776601683796
497285.0,26,0.744738,0.750676,0.85236,181900,36,18,0.00342638,0.0788498,0.9414647114981057,0.7191979344805313
904482.0,195,0.56681,0.180001,0.555952,154933,29,49,0.00227482,0.105774,0.9523049268791839,0.6747708500149472
586688.0,14,0.427618,0.401703,0.933296,156034,18,16,0.000949128,0.266549,0.9691920789406361,0.48371616333648404
796395.0,329,0.296004,0.304451,0.833694,68144,44,23,0.00539648,0.00847886,0.9265392621872064,0.9079192745467326
655456.0,438,0.0864095,0.53808,0.839096,21733,17,12,0.00628002,0.00139865,0.9207534227868484,0.9626014706171486
529773.0,434,0.514375,0.739091,0.976256,99612,13,30,0.00949322,0.00080322,0.9025668434258645,0.971658863819529
617659.0,166,0.188031,0.486971,0.955364,171743,28,14,0.00780948,0.00387823,0.911628737702803,0.9377245634298723
617659.0,201,0.18873,0.471536,0.870932,146265,34,15,0.00743657,0.00519983,0.913764450485893,0.9278901532382713
549713.0,258,0.577085,0.565811,0.99,84454,22,10,0.00856238,0.00218653,0.9074668707975354,0.9532396535513262
529773.0,224,0.514375,0.639265,0.976256,101600,13,30,0.00858511,0.00231082,0.907344131324562,0.9519290108277352
982510.0,169,0.140631,0.8,0.604018,187262,35,24,0.00835269,0.00661839,0.9086069477476543,0.9186465120600229
228111.0,297,0.0656028,0.761538,0.338687,167172,27,35,0.00979496,0.00315047,0.9010305097517421,0.9438709522617745
549713.0,468,0.577085,0.784066,0.865519,86767,22,10,0.00890975,0.00843386,0.9056085279275717,0.9081639504333946
208465.0,158,0.46932,0.390958,0.887706,194080,41,20,0.00973193,0.0041745,0.9013494551459547,0.9353896293154109
228111.0,274,0.0656028,0.394755,0.338687,167172,27,30,0.00959898,0.00492691,0.9020256155926458,0.929808048894478
208465.0,158,0.46932,0.390958,0.887706,194080,42,20,0.00973201,0.00417834,0.9013490496751299,0.9353599195545055
380553.0,408,0.24212,0.471642,0.633605,154419,20,16,0.00803409,0.0118797,0.910366914590649,0.891005963465885
829914.0,241,0.414268,0.734001,0.781458,200000,18,43,0.00885572,0.0121108,0.9058951648426076,0.8899509200401929
810604.0,191,0.170356,0.44794,0.643657,118459,23,36,0.00667988,0.0123294,0.9182694671496631,0.8889621686090727
337722.0,76,0.0970986,0.585465,0.870932,164879,28,15,0.0085618,0.0129124,0.9074700048632878,0.8863672582395373
369809.0,140,0.245417,0.52804,0.805651,117607,23,27,0.006555,0.0146574,0.9190370455084549,0.8789322503719508
220746.0,206,0.484329,0.52804,0.805651,134696,25,30,0.0074287,0.0158381,0.9138100933983566,0.8741504866914456
741264.0,342,0.199445,0.339345,0.552329,93897,37,28,0.00618629,0.0162596,0.9213470280281794,0.8724868634218419
779070.0,329,0.418578,0.196949,0.833694,68144,44,24,0.00331329,0.0176067,0.9424388151616039,0.8673097592134222
369809.0,206,0.484329,0.52804,0.805651,117607,23,27,0.00558979,0.0176092,0.9252351018191023,0.8673003391112095
319885.0,174,0.105172,0.286052,0.612657,148207,18,20,0.00834897,0.0184017,0.9086273016705756,0.8643471341990889
829914.0,241,0.414268,0.639794,0.712901,199450,44,47,0.00847698,0.0198046,0.9079294835465772,0.8592711827662862
641445.0,76,0.0970986,0.475249,0.870932,155468,28,23,0.00735911,0.0199423,0.9142147448567063,0.8587827914169098
773509.0,220,0.414268,0.611603,0.711633,199450,44,45,0.00816403,0.0207407,0.9096449780034336,0.8559836814801878
216472.0,174,0.208317,0.336831,0.777742,102082,22,20,0.00721309,0.0208905,0.9150700877193435,0.8554645372235589
617659.0,76,0.0970986,0.471536,0.870932,146265,28,15,0.00716962,0.0216235,0.9153263913607079,0.8529506885429246
261720.0,174,0.208317,0.336831,0.612657,148207,18,20,0.00822802,0.0222262,0.9092915659930125,0.8509154602247436
261720.0,174,0.208317,0.333817,0.612657,148207,33,20,0.00820473,0.0227118,0.9094200353278938,0.8492956536791324
219129.0,164,0.332357,0.600597,0.641273,137664,30,10,0.00805482,0.0241173,0.9102513509850984,0.8447025434850912
316385.0,174,0.208317,0.336831,0.612657,148207,19,22,0.00779438,0.0244754,0.911714214054583,0.8435538431280589
343194.0,253,0.383457,0.130276,0.860913,185643,38,42,0.00722744,0.0257388,0.9149856482704244,0.8395668363460971
829914.0,241,0.414268,0.695042,0.635148,199450,44,47,0.00839204,0.0291033,0.9083919217535921,0.8294031067105851
829914.0,241,0.414268,0.639794,0.635148,199450,44,47,0.00826384,0.0295958,0.9090943346099926,0.8279657010942295
746133.0,329,0.418578,0.196949,0.740109,68144,30,35,0.00284507,0.0296925,0.9466608024057355,0.827684881684746
829914.0,241,0.414268,0.639794,0.635148,192957,42,36,0.00822131,0.0297077,0.9093285601746613,0.8276407820857845
369809.0,244,0.484329,0.52804,0.704434,125880,21,21,0.00609383,0.030167,0.9219370126116095,0.8263135008125272
226579.0,329,0.418578,0.196949,0.833694,66003,44,24,0.00265974,0.0303812,0.9484273328205725,0.8256979632935977
712524.0,82,0.94001,0.667242,0.875161,147159,10,31,0.00743769,0.0310884,0.9137579568887657,0.8236809709645609
741264.0,342,0.199445,0.339345,0.284655,106020,37,12,0.00621161,0.0318896,0.9211862321672158,0.8214234057890004
773448.0,248,0.215487,0.31212,0.421376,74937,22,11,0.00422888,0.033209,0.9349701606952624,0.8177666331321292
226500.0,253,0.392725,0.14861,0.646835,185643,41,42,0.00903204,0.0332594,0.9049629545913805,0.8176284013339796
818088.0,155,0.333538,0.241399,0.763731,118459,24,25,0.0036872,0.0333704,0.9392776812036958,0.8173243311220676
533252.0,166,0.284505,0.714853,0.459675,174814,34,41,0.00718652,0.0335456,0.9152266551326421,0.8168454204776741
