P_H,t_ads,alpha,v_0,beta,P_L,t_depres,t_pres,Obj1,Obj2,Pu,Rec
525584.0,58,0.807167,0.422957,0.612488,135210,39,35,0.000255462,0.194519,0.9840168213424237,0.5589569182041283
915773.0,46,0.0242792,0.340865,0.572109,143585,37,50,0.00526767,0.0726149,0.9274212841116626,0.7305284801690539
586777.0,108,0.631457,0.437277,0.163239,34874,17,25,1.10364e-05,0.354124,0.9966778922353422,0.4049168125379444
720626.0,198,0.102949,0.425924,0.0463528,15853,24,25,0.00157947,0.0339966,0.9602574535289949,0.8156183306290997
647804.0,264,0.355508,0.202491,0.405341,65234,31,34,0.00088726,0.0894797,0.9702130901233444,0.7008684235992462
883634.0,485,0.343442,0.188434,0.209167,78725,44,17,0.0042763,0.0987933,0.9346065752540823,0.6856859850404377
705353.0,453,0.765194,0.378733,0.526015,134627,42,45,0.00758794,0.148706,0.91289121743475,0.6143758306329854
247454.0,381,0.169088,0.469994,0.678098,33560,37,36,0.00362722,0.0129213,0.939773593831277,0.8863281037371153
767443.0,138,0.211133,0.661168,0.959908,190439,46,32,0.00797316,0.00278647,0.9107074471190346,0.9472129750790973
454572.0,294,0.980081,0.301247,0.732248,99331,27,37,0.00676575,0.106396,0.9177458207748688,0.67381600284502
218072.0,115,0.960713,0.407401,0.0158914,61773,40,24,1.98791e-11,0.910536,0.9999955414015655,0.04577989960387019
950896.0,37,0.55049,0.383419,0.690588,129359,25,16,0.00047403,0.150174,0.9782277699810056,0.6124770974510023
470624.0,301,0.431198,0.49901,0.460198,155533,39,32,0.00686475,0.0667163,0.9171462131221512,0.7417050135987924
985965.0,221,0.197953,0.35213,0.158419,79424,25,29,0.00486657,0.0489417,0.9302391943853857,0.77877228925833
675437.0,329,0.146091,0.767661,0.491073,84404,40,24,0.00782245,0.0094087,0.9115553845618627,0.9030015464040793
966324.0,30,0.675933,0.680041,0.515651,195892,18,14,0.00178558,0.190381,0.9577438761834454,0.5636732875470492
374423.0,50,0.774071,0.229185,0.444488,66449,25,14,1.29856e-09,0.499536,0.9999639644619854,0.29322139251389334
899458.0,480,0.787519,0.473486,0.623652,28750,27,34,100000.0,100000.0,-315.22776601683796,-315.22776601683796
406310.0,288,0.237003,0.112399,0.890759,120790,40,32,0.00520652,0.0428149,0.9278437805868406,0.7930823835435948
992584.0,277,0.913316,0.456265,0.426664,165057,48,40,0.00689017,0.294984,0.9169929521064627,0.45687570483359885
263571.0,229,0.851252,0.444421,0.800714,188555,36,38,0.00808704,0.0372709,0.910072028823063,0.806943272585491
752580.0,339,0.0609352,0.708086,0.671001,197628,28,43,0.00931034,0.00145605,0.9035098968805608,0.961841776770924
277759.0,426,0.0601123,0.685208,0.683828,109548,31,20,0.00921422,0.00198572,0.9040092712810243,0.9554385817101834
437104.0,86,0.0977615,0.759086,0.439522,153711,43,13,0.00815128,0.0191657,0.9097155605876628,0.8615597601851254
464940.0,436,0.461625,0.509292,0.627737,131874,32,18,0.00804917,0.0381048,0.9102828333037651,0.8047954918553365
476231.0,343,0.256451,0.621541,0.261765,94015,33,44,0.00671121,0.0462128,0.9180780249261531,0.7850283739653068
969133.0,43,0.166529,0.660898,0.586294,141071,48,21,0.00559437,0.0447958,0.9252044787437108,0.7883498169147969
490752.0,395,0.125277,0.132542,0.510824,45875,40,27,0.0027062,0.0444771,0.947978850454839,0.7891040540930196
527586.0,110,0.163367,0.770208,0.825737,92993,41,36,0.00623255,0.0113457,0.9210534991275737,0.8934838040483983
260125.0,456,0.770593,0.575494,0.510156,78540,12,45,0.00737794,0.160183,0.914105064177217,0.5997713153708245
582513.0,74,0.571383,0.19383,0.604746,136082,30,24,0.000278835,0.208172,0.9833016467877818,0.5437413014527832
218818.0,252,0.372884,0.474701,0.897685,158925,43,49,0.00882638,0.00421362,0.9060511841479628,0.9350875974870749
581058.0,432,0.887723,0.166143,0.722333,47720,39,40,0.00322103,0.106706,0.9432458812067354,0.6733411565562628
540469.0,368,0.98158,0.67947,0.386414,147980,14,47,0.0070038,0.37755,0.9163112910841612,0.3855490255520787
364029.0,217,0.854508,0.725742,0.235176,111779,43,39,0.00567885,0.450985,0.9246418551183749,0.32844583241558245
382765.0,111,0.649892,0.47085,0.379903,119003,21,45,0.000789744,0.213951,0.9718976157595125,0.5374516241515921
480852.0,117,0.609392,0.715637,0.87067,92896,27,25,0.00524416,0.0221972,0.9275834273111465,0.8510127522235544
274479.0,240,0.246691,0.524935,0.0595403,36858,29,13,0.00107559,0.0874166,0.9672038111970308,0.7043370161822755
212423.0,434,0.0178387,0.359371,0.192197,110631,28,27,0.00946805,0.00347562,0.9026960946313047,0.9410456108504209
838365.0,216,0.903906,0.232425,0.68617,21885,32,25,0.00133291,0.144841,0.9634909600235777,0.6194201792002103
285342.0,492,0.0736348,0.490762,0.47038,15092,35,43,0.00386179,0.00818791,0.9378566978669463,0.9095129291003405
877719.0,42,0.248429,0.358288,0.484715,103667,21,43,0.00111474,0.141885,0.9666122777057194,0.623323746434687
727833.0,424,0.885807,0.684273,0.413312,130624,25,43,0.00707832,0.282484,0.9158672477568932,0.4685077611102868
846967.0,49,0.368756,0.594552,0.956681,107037,15,20,0.00334165,0.0270919,0.9421929935042472,0.8354038275050115
357406.0,127,0.850274,0.194575,0.502448,58269,21,46,9.08537e-14,0.336227,0.9999996985805248,0.42014915711020995
933184.0,197,0.49033,0.409212,0.857908,16584,12,37,100000.0,100000.0,-315.22776601683796,-315.22776601683796
745532.0,299,0.0785019,0.367739,0.620072,147253,36,37,0.00849611,0.00585617,0.9078256543283327,0.9234743833739316
676639.0,74,0.450186,0.577706,0.725295,102217,12,27,0.00256213,0.0477107,0.9493825129031478,0.7815722087279184
598863.0,38,0.408135,0.485369,0.12533,174262,44,38,0.00176301,0.251456,0.9580117873683578,0.4985461137851258
660446.0,448,0.0761095,0.242146,0.122488,84821,38,18,0.00733167,0.0159138,0.9143748284673251,0.8738500891795797
427137.0,329,0.624199,0.211035,0.88206,123350,41,40,0.00418983,0.0201156,0.9352711038252621,0.8581705249251764
226019.0,229,0.210971,0.753796,0.546014,80433,23,25,0.00658407,0.019554,0.9188577175573671,0.8601643822196934
310926.0,196,0.768901,0.627048,0.326935,86328,49,38,0.00323956,0.299764,0.9430828672542265,0.45249292242017547
424654.0,141,0.767748,0.727668,0.230682,138897,11,48,0.00386436,0.373431,0.9378360232932288,0.3889099902633001
472440.0,44,0.361865,0.371119,0.611235,93194,21,18,0.000248158,0.180499,0.9842469685457053,0.5751482611545529
