P_H,t_ads,alpha,v_0,beta,P_L,t_depres,t_pres,Obj1,Obj2,Pu,Rec
377308.0,404,0.226148,0.378912,0.494909,83633,46,31,0.00266872,0.0164155,0.9483403445617375,0.871877012210923
801186.0,205,0.357296,0.304152,0.673521,188307,36,30,0.00279153,0.0178654,0.9471650683732816,0.8663384872149054
274227.0,443,0.18964,0.355846,0.803886,26754,27,42,100000.0,100000.0,-315.22776601683796,-315.22776601683796
971337.0,233,0.382862,0.381535,0.9379,20651,43,11,0.00338524,0.00196173,0.9418171846676358,0.9557085787087386
793032.0,383,0.247415,0.311324,0.703981,47030,14,22,0.00259123,0.00706733,0.9490958744304551,0.9159325865748208
707121.0,42,0.422758,0.50854,0.263733,24901,37,47,1.60575e-10,0.185968,0.9999873281808725,0.5687599276505023
940669.0,449,0.535353,0.301413,0.910309,116972,17,37,0.0089733,0.0037786,0.9052724960742657,0.9385296819595018
553531.0,125,0.937096,0.280941,0.787282,185761,46,40,0.000168269,0.0498539,0.9870281458534256,0.7767201307775374
579818.0,386,0.201553,0.724142,0.109423,89384,47,43,0.00567288,0.0348641,0.9246814763819683,0.8132806919464406
525768.0,311,0.134654,0.413785,0.578079,53832,38,25,0.0019422,0.00558592,0.9559296017717107,0.9252609874295894
867481.0,30,0.668814,0.569686,0.322386,177888,20,35,5.6002e-06,0.289876,0.9976335258294247,0.46159866270596983
832365.0,94,0.68201,0.779619,0.209999,51729,28,11,0.000910413,0.309847,0.9698269491101745,0.4433609787303804
408769.0,145,0.367076,0.159538,0.77915,175622,40,20,0.00338359,0.0287537,0.9418313658403431,0.8304308400681303
817622.0,175,0.241996,0.430527,0.875028,47525,24,37,0.000832817,0.00230497,0.9711414310819126,0.9519898968965906
306513.0,429,0.865136,0.768976,0.517669,134203,23,32,0.007637,0.178478,0.9126100692299164,0.5775334332754839
887009.0,36,0.411842,0.531843,0.152825,88615,40,27,1.05109e-07,0.217388,0.999675794818055,0.5337511394115799
621812.0,338,0.358971,0.52686,0.695532,34157,45,21,0.00408872,0.0145518,0.9360569002940896,0.8793691581725469
390718.0,326,0.700869,0.118169,0.0599968,139685,28,43,1.01985e-09,0.465896,0.9999680649095821,0.317434252251111
435754.0,475,0.528542,0.227685,0.226522,49295,43,18,0.000269295,0.180805,0.9835897897636867,0.5747882880258353
843489.0,177,0.367788,0.757897,0.976974,45293,39,23,0.00749003,0.000569186,0.9134550405858319,0.976142380671995
688305.0,147,0.0650972,0.228168,0.924924,115025,41,31,0.00500003,0.00691492,0.9292891097496291,0.9168440020202993
626186.0,70,0.141146,0.630105,0.587891,136336,14,31,0.00411614,0.0117603,0.9358428491904449,0.8915550831066757
758429.0,443,0.0722329,0.577962,0.495867,45151,15,32,0.00562192,0.0018887,0.9250205361448883,0.9565408237537801
891217.0,265,0.29775,0.14913,0.107295,168115,50,35,0.000494004,0.0899808,0.9777737992450352,0.7000320017068488
204732.0,158,0.567368,0.703719,0.500564,31129,32,22,1.67127e-05,0.0929023,0.9959118830740792,0.6952012139131785
894013.0,197,0.346237,0.236939,0.464702,57774,41,38,1.95538e-07,0.0532382,0.9995578032112283,0.7692659539643099
533965.0,412,0.872722,0.416606,0.254263,153145,24,17,0.00483071,0.431087,0.9304966907262683,0.34342784098014023
730460.0,460,0.485564,0.167357,0.817652,82456,44,18,0.00304643,0.0114949,0.944805525638883,0.8927857285619121
453616.0,235,0.499361,0.233722,0.277772,72718,41,35,3.88369e-09,0.159364,0.9999376807413395,0.6007957916053489
698918.0,269,0.776951,0.78007,0.198129,119682,35,46,100000.0,100000.0,-315.22776601683796,-315.22776601683796
207299.0,420,0.628486,0.302201,0.184548,110543,25,43,0.000896251,0.267846,0.9700625485386615,0.4824615956279187
782587.0,410,0.663849,0.625636,0.766754,102814,25,41,100000.0,100000.0,-315.22776601683796,-315.22776601683796
734140.0,168,0.30614,0.68909,0.771396,73380,21,50,100000.0,100000.0,-315.22776601683796,-315.22776601683796
666915.0,497,0.722229,0.160826,0.426901,69097,43,48,0.000735701,0.1849,0.9728761912703986,0.5700000000000001
504885.0,496,0.289974,0.404646,0.456174,90179,44,26,0.00415163,0.02755,0.9355668563548231,0.8340180732730217
633395.0,185,0.362688,0.74931,0.847679,125090,26,29,0.00720412,0.00457856,0.9151229123968075,0.9323349425478704
410657.0,320,0.535316,0.159169,0.23485,149537,49,15,5.68954e-05,0.189151,0.9924570960499288,0.5650850657887223
306887.0,332,0.710017,0.344546,0.252268,129880,47,19,0.000707193,0.288127,0.9734068993910074,0.46322537317790435
707557.0,32,0.809114,0.40318,0.048564,111140,21,31,1.01068e-10,0.691616,0.9999899467418216,0.16836546488256032
347603.0,485,0.344011,0.636953,0.980707,113798,18,20,0.00938641,0.000220082,0.9031165132749652,0.9851648390638996
938124.0,480,0.228736,0.718704,0.03442,149479,30,42,0.00772731,0.0507263,0.9120948806951495,0.7747750013875014
315774.0,217,0.619975,0.170702,0.220658,198017,48,36,0.00240729,0.253639,0.9509358583077213,0.4963741468113456
829990.0,290,0.844975,0.46076,0.806827,51979,16,33,0.0078329,0.0313388,0.9114963277598043,0.8229723185487648
251300.0,159,0.439624,0.54748,0.259977,106294,43,36,0.00103056,0.118072,0.9678976636364267,0.6563839351834667
241513.0,439,0.553775,0.676075,0.426244,47978,16,18,0.00419941,0.106061,0.9351971451246166,0.6743299215463601
994282.0,130,0.0481705,0.201028,0.917082,67155,27,30,0.00175423,0.00893217,0.9581164710178333,0.9054898418158133
733776.0,97,0.195237,0.734031,0.0955737,132993,42,43,0.00247799,0.0408435,0.9502205865844122,0.7979022513732525
518856.0,406,0.28865,0.548665,0.930827,153562,33,27,0.0089598,0.000827547,0.90534377991912,0.9712328833561652
681681.0,334,0.155071,0.467991,0.948904,55008,42,13,0.00506187,0.000325294,0.928853179972679,0.9819640913730414
260869.0,324,0.26057,0.29569,0.138915,62901,46,11,0.000280997,0.0638175,0.9832370348684966,0.74737874198714
315327.0,422,0.851834,0.678399,0.633474,61840,31,18,0.00663496,0.103731,0.9185447362044662,0.6779270269022872
373101.0,107,0.211933,0.560503,0.58134,192775,50,33,0.00709367,0.0144585,0.9157760722834657,0.8797564970570135
560537.0,208,0.810354,0.369648,0.596674,15358,44,43,100000.0,100000.0,-315.22776601683796,-315.22776601683796
449335.0,63,0.209164,0.143114,0.0754489,28829,47,34,5.15273e-10,0.284128,0.9999773003744524,0.4669634158896784
890429.0,146,0.513321,0.450114,0.924736,135412,39,42,100000.0,100000.0,-315.22776601683796,-315.22776601683796
844703.0,173,0.116555,0.574365,0.0615932,141181,37,42,0.00517807,0.0164858,0.9280411923389499,0.8716029595356654
829047.0,184,0.849169,0.615928,0.321135,113278,27,37,0.00391601,0.343514,0.9374219687110564,0.41389932605396196
384509.0,45,0.20194,0.252142,0.0206339,156652,30,33,0.00232213,0.136455,0.9518115158985054,0.6306018408275429
549405.0,256,0.200296,0.262895,0.225632,123575,20,43,0.00229896,0.0346288,0.9520525287423831,0.8139118488457688
513522.0,177,0.243994,0.713503,0.538581,25143,14,38,100000.0,100000.0,-315.22776601683796,-315.22776601683796
894830.0,414,0.53503,0.343332,0.73293,50732,13,20,0.00677119,0.0239586,0.9177127591907469,0.8452143417496311
247204.0,466,0.530475,0.540244,0.917842,146499,25,11,0.00909297,0.00258922,0.9046429341894372,0.9491156212576001
401202.0,123,0.812758,0.677601,0.673256,83334,41,31,0.000655252,0.0788528,0.9744021094619107,0.7191925926902925
942087.0,87,0.696537,0.382865,0.723245,185631,27,44,0.000420347,0.0465564,0.9794976342828443,0.7842306787330506
447304.0,372,0.897632,0.353584,0.658913,125369,20,23,0.00643599,0.102608,0.9197753778444547,0.6796751648716572
677121.0,397,0.844584,0.359079,0.931278,151319,15,31,0.00932001,0.00511427,0.9034598011189121,0.9284858755209854
838636.0,375,0.150046,0.535543,0.98398,48229,36,29,0.00729932,0.000127566,0.9145639420385046,0.9887054880583533
491813.0,187,0.356751,0.603762,0.692275,156071,25,50,100000.0,100000.0,-315.22776601683796,-315.22776601683796
800225.0,464,0.676289,0.244347,0.127361,169587,44,18,0.00291662,0.356541,0.945994259564376,0.4028894574703944
665587.0,429,0.418202,0.188967,0.473693,126504,34,28,0.00106664,0.0552441,0.967340545013733,0.7649593652152888
501189.0,64,0.517445,0.718811,0.0790264,151708,49,26,5.44123e-05,0.254785,0.9926235306548458,0.49523767969469035
278308.0,409,0.462139,0.530348,0.655819,146854,35,46,100000.0,100000.0,-315.22776601683796,-315.22776601683796
258889.0,17,0.347212,0.501506,0.699017,136476,50,29,0.00239682,0.107045,0.9510426716415203,0.672822678047515
359868.0,321,0.482188,0.209456,0.138297,42731,25,36,1.61012e-10,0.200542,0.9999873109496021,0.5521808400704589
506718.0,56,0.466294,0.125966,0.0401909,74902,25,32,5.37997e-08,0.49167,0.9997680523766019,0.29880815749183165
615053.0,183,0.153488,0.382386,0.294893,107493,34,44,0.00253335,0.0196782,0.949667604865256,0.8597209923046217
975224.0,177,0.133807,0.242262,0.364479,172684,17,35,0.00472544,0.015892,0.9312581641211118,0.8739365239254446
923858.0,388,0.400227,0.468582,0.65281,159692,45,12,0.00791758,0.0217322,0.9110192155575149,0.8525815479663418
805496.0,90,0.527991,0.577213,0.131519,138661,36,38,1.88209e-05,0.230539,0.9956616938789431,0.5198552301649012
409142.0,111,0.795635,0.778506,0.940684,178854,32,23,0.00802399,0.00448012,0.9104232731118177,0.9330663014618197
681681.0,334,0.155071,0.467991,0.948904,55008,42,13,0.00506187,0.000325294,0.928853179972679,0.9819640913730414
680771.0,375,0.150046,0.552113,0.98398,199999,34,22,0.0092104,9.46015e-05,0.9040291710987135,0.9902736697567891
826166.0,375,0.150046,0.535543,0.99,48229,36,29,0.00728598,0.000108746,0.9146420478221273,0.9895718649797771
822853.0,233,0.155984,0.381535,0.9379,20651,41,11,0.000414526,0.000773806,0.9796400884088363,0.9721826313250157
838636.0,345,0.150046,0.443266,0.99,48229,36,29,0.00594798,0.000143584,0.9228768517240122,0.9880173458699669
971337.0,233,0.382862,0.381535,0.9379,20651,43,11,0.00338524,0.00196173,0.9418171846676358,0.9557085787087386
817622.0,175,0.241996,0.430527,0.875028,47525,24,37,0.000832817,0.00230497,0.9711414310819126,0.9519898968965906
838636.0,375,0.150046,0.535543,0.98398,48229,36,29,0.00729932,0.000127566,0.9145639420385046,0.9887054880583533
633395.0,185,0.180217,0.74931,0.847679,190641,26,24,0.00708951,0.00129191,0.9158007719750353,0.9640568504440693
512333.0,426,0.0481705,0.202634,0.917082,67155,20,30,0.00496377,0.0015606,0.929545972435921,0.9604955698686843
634888.0,383,0.247415,0.251945,0.703981,47030,29,23,0.000579955,0.0082343,0.9759177451221859,0.9092569561894687
525768.0,311,0.134654,0.413785,0.578079,53832,38,25,0.0019422,0.00558592,0.9559296017717107,0.9252609874295894
758429.0,443,0.0722329,0.577962,0.495867,45151,15,32,0.00562192,0.0018887,0.9250205361448883,0.9565408237537801
