P_H,t_ads,alpha,v_0,beta,P_L,t_depres,t_pres,Obj1,Obj2,Pu,Rec
580208,357,0.455158,0.175054,0.636425,147987,19,25,100000.0,100000.0,-315.22776601683796,-315.22776601683796
225039,175,0.970844,0.614402,0.788814,61715,48,11,0.0015393,0.0512689,0.9607660860988864,0.7735736322775106
204913,302,0.486947,0.152036,0.733817,75080,28,18,7.55246e-05,0.0370398,0.9913095109458673,0.8075427320156497
406026,27,0.0329595,0.56685,0.565581,102912,49,35,0.002016,0.060306,0.9551001113587128,0.7544272002032799
893411,221,0.0681263,0.689725,0.589028,162229,25,25,100000.0,100000.0,-315.22776601683796,-315.22776601683796
220015,300,0.586166,0.532721,0.539936,191485,28,33,0.00820105,0.0742816,0.9094403511490907,0.7274534902076344
795004,282,0.925533,0.419531,0.35936,81318,23,16,100000.0,100000.0,-315.22776601683796,-315.22776601683796
393923,88,0.636994,0.248511,0.574416,38001,26,21,100000.0,100000.0,-315.22776601683796,-315.22776601683796
891096,359,0.629152,0.649531,0.336792,91949,17,15,0.00554359,0.179522,0.9255447114034201,0.5762996341752818
428128,428,0.984424,0.319527,0.622421,149304,35,43,100000.0,100000.0,-315.22776601683796,-315.22776601683796
815629,437,0.311079,0.182443,0.195254,131280,21,27,100000.0,100000.0,-315.22776601683796,-315.22776601683796
563187,448,0.73534,0.591608,0.528136,52282,11,27,100000.0,100000.0,-315.22776601683796,-315.22776601683796
690611,337,0.135018,0.295102,0.610003,148564,24,21,100000.0,100000.0,-315.22776601683796,-315.22776601683796
308466,233,0.276839,0.371241,0.0787866,155263,15,24,0.0049612,0.0770928,0.9295642136410759,0.7223440978477136
773467,370,0.179301,0.561212,0.310225,145829,40,28,0.00651578,0.0175726,0.919279618434995,0.8674383162448516
528521,185,0.659175,0.586295,0.239241,91595,30,30,0.000826073,0.264797,0.9712585143042326,0.4854157017552906
765313,85,0.76212,0.786787,0.506396,101433,47,35,100000.0,100000.0,-315.22776601683796,-315.22776601683796
875319,300,0.0805312,0.343492,0.793652,30815,24,37,0.00178306,0.00128263,0.9577737048748058,0.9641861758534501
615643,242,0.895328,0.72571,0.509461,111364,46,49,100000.0,100000.0,-315.22776601683796,-315.22776601683796
815052,234,0.645929,0.356834,0.14966,186141,45,31,100000.0,100000.0,-315.22776601683796,-315.22776601683796
368650,164,0.703485,0.153752,0.349331,183298,25,24,7.34237e-05,0.255705,0.9914312369620814,0.4943271808768045
762375,39,0.983034,0.170245,0.36778,71845,17,19,100000.0,100000.0,-315.22776601683796,-315.22776601683796
723406,265,0.0341716,0.410301,0.466151,85286,16,34,100000.0,100000.0,-315.22776601683796,-315.22776601683796
514415,472,0.766852,0.138684,0.691594,121007,11,31,100000.0,100000.0,-315.22776601683796,-315.22776601683796
318361,401,0.315455,0.65608,0.694472,81996,32,46,100000.0,100000.0,-315.22776601683796,-315.22776601683796
585040,471,0.841524,0.760919,0.692459,148761,33,49,100000.0,100000.0,-315.22776601683796,-315.22776601683796
541050,214,0.895365,0.754492,0.428594,49175,38,36,100000.0,100000.0,-315.22776601683796,-315.22776601683796
943088,85,0.797067,0.224459,0.159735,170963,45,33,100000.0,100000.0,-315.22776601683796,-315.22776601683796
818935,59,0.382865,0.59834,0.674121,139530,15,13,100000.0,100000.0,-315.22776601683796,-315.22776601683796
957276,136,0.80567,0.50398,0.935929,36216,45,14,100000.0,100000.0,-315.22776601683796,-315.22776601683796
550411,369,0.491911,0.705613,0.394386,175561,24,39,0.00692352,0.092543,0.9167923080478734,0.6957911901341449
716309,461,0.320005,0.404474,0.534366,103336,44,43,100000.0,100000.0,-315.22776601683796,-315.22776601683796
795767,441,0.214253,0.252416,0.167434,95545,24,24,0.00253719,0.0386769,0.9496294729032939,0.8033355649844132
495814,312,0.485183,0.642685,0.80569,141846,33,42,100000.0,100000.0,-315.22776601683796,-315.22776601683796
588225,76,0.749711,0.311137,0.366064,31895,37,32,100000.0,100000.0,-315.22776601683796,-315.22776601683796
377706,269,0.843057,0.558581,0.534744,128091,22,30,100000.0,100000.0,-315.22776601683796,-315.22776601683796
444330,363,0.28901,0.723131,0.785055,90764,43,32,100000.0,100000.0,-315.22776601683796,-315.22776601683796
736384,229,0.527125,0.539324,0.578371,69951,32,30,0.00364808,0.0563836,0.9396006622552863,0.7625476889984012
894637,87,0.450945,0.585024,0.816815,43603,15,21,100000.0,100000.0,-315.22776601683796,-315.22776601683796
749435,373,0.705799,0.292861,0.215042,111096,17,34,100000.0,100000.0,-315.22776601683796,-315.22776601683796
879708,460,0.588777,0.230312,0.742369,102524,35,24,100000.0,100000.0,-315.22776601683796,-315.22776601683796
640965,104,0.454714,0.544573,0.134246,91664,34,28,1.40695e-08,0.182505,0.9998813850768242,0.5727939607168457
982169,170,0.181741,0.557753,0.696733,163796,37,17,100000.0,100000.0,-315.22776601683796,-315.22776601683796
990699,249,0.875158,0.412047,0.939467,170726,39,16,100000.0,100000.0,-315.22776601683796,-315.22776601683796
264401,136,0.901789,0.163485,0.714118,129585,45,19,4.65737e-05,0.117659,0.9931755073448644,0.6569854230502733
384944,144,0.603263,0.764051,0.296291,12344,34,49,100000.0,100000.0,-315.22776601683796,-315.22776601683796
523033,141,0.308048,0.222026,0.100111,182900,25,33,100000.0,100000.0,-315.22776601683796,-315.22776601683796
368147,115,0.884992,0.78793,0.851628,93825,22,12,0.00398316,0.0244305,0.9368877191031729,0.8436974088506528
321307,434,0.739429,0.758445,0.925615,89031,16,32,0.00913012,0.00436066,0.9044483385806401,0.9339647064063467
495724,118,0.316516,0.185539,0.467786,16901,47,39,100000.0,100000.0,-315.22776601683796,-315.22776601683796
343799,343,0.851292,0.226561,0.195177,36993,42,35,100000.0,100000.0,-315.22776601683796,-315.22776601683796
217916,380,0.858197,0.576955,0.959778,163654,34,26,0.0096528,0.00179565,0.9017513358869444,0.9576248893806754
901487,282,0.909427,0.736564,0.884328,58247,32,47,100000.0,100000.0,-315.22776601683796,-315.22776601683796
387145,314,0.176275,0.317222,0.426794,153007,16,10,0.00605578,0.0161619,0.9221811076922833,0.8728705384263742
609520,369,0.95014,0.295017,0.385605,127874,32,26,0.00449295,0.357504,0.9329705288697576,0.4020836178862466
453758,217,0.0332664,0.141435,0.395395,144201,50,23,100000.0,100000.0,-315.22776601683796,-315.22776601683796
696957,268,0.797356,0.480872,0.312666,80084,16,37,100000.0,100000.0,-315.22776601683796,-315.22776601683796
729923,398,0.938949,0.405993,0.372566,57686,23,37,100000.0,100000.0,-315.22776601683796,-315.22776601683796
771947,135,0.707866,0.365662,0.687853,29775,30,49,100000.0,100000.0,-315.22776601683796,-315.22776601683796
672972,191,0.0113282,0.774949,0.408978,86457,19,31,100000.0,100000.0,-315.22776601683796,-315.22776601683796
975631,85,0.0473951,0.351779,0.616011,84852,17,20,0.00279001,0.0119666,0.947179454754802,0.8906080441714291
226281,271,0.637296,0.227391,0.0655984,142275,45,15,0.000743072,0.366551,0.9727406529792073,0.39456544532047066
347342,244,0.0763312,0.7879,0.664423,109977,27,13,0.00746993,0.00191427,0.9135712432115329,0.9562476286356957
650377,298,0.0315482,0.425714,0.47554,91011,46,21,100000.0,100000.0,-315.22776601683796,-315.22776601683796
608354,324,0.633787,0.782538,0.978246,101610,27,18,100000.0,100000.0,-315.22776601683796,-315.22776601683796
681342,18,0.336007,0.512149,0.527146,101970,18,27,9.54094e-08,0.197876,0.9996911158793333,0.5551674472343554
339814,85,0.252536,0.681084,0.33813,26459,39,46,100000.0,100000.0,-315.22776601683796,-315.22776601683796
226460,89,0.566697,0.76674,0.327872,51766,36,50,100000.0,100000.0,-315.22776601683796,-315.22776601683796
966806,493,0.679708,0.232629,0.590775,115133,27,10,100000.0,100000.0,-315.22776601683796,-315.22776601683796
374547,180,0.352782,0.475707,0.122322,164149,11,26,0.00276526,0.107762,0.9474142604882274,0.671728770678879
351261,350,0.900049,0.696076,0.391377,73666,25,30,100000.0,100000.0,-315.22776601683796,-315.22776601683796
618661,70,0.279684,0.428218,0.332219,186808,18,30,0.00219072,0.0655066,0.9531948720758078,0.7440574283164287
889550,117,0.496385,0.226114,0.88757,27673,38,46,100000.0,100000.0,-315.22776601683796,-315.22776601683796
807922,284,0.620042,0.514338,0.0374247,132914,43,16,100000.0,100000.0,-315.22776601683796,-315.22776601683796
812497,141,0.513373,0.608507,0.292831,126170,35,27,0.00129556,0.143098,0.9640061116298891,0.6217170371269676
420404,268,0.987749,0.389783,0.980513,154906,33,23,0.00917379,0.00220714,0.9042200960535041,0.9530197914010591
400624,425,0.168041,0.473249,0.915594,28179,31,22,0.00215856,0.000687321,0.9535396943617458,0.9737831924140257
375907,114,0.638359,0.523945,0.0411401,56997,13,46,100000.0,100000.0,-315.22776601683796,-315.22776601683796
296010,382,0.317632,0.106905,0.0445457,139119,11,45,100000.0,100000.0,-315.22776601683796,-315.22776601683796
313596,166,0.68204,0.222436,0.558381,131790,34,50,1.66126e-05,0.121841,0.9959241442616305,0.6509426981139057
400624,425,0.168041,0.473249,0.915594,28179,31,22,0.00215856,0.000687321,0.9535396943617458,0.9737831924140257
201433,425,0.168041,0.473249,0.915594,28179,31,22,0.000982137,0.000940808,0.9686609349214116,0.9693274063698551
321307,390,0.739429,0.758445,0.99,89031,18,32,0.00948371,0.000419693,0.9026156583428322,0.9795135898703555
875319,300,0.0805312,0.343492,0.793652,30815,24,37,0.00178306,0.00128263,0.9577737048748058,0.9641861758534501
217916,380,0.858197,0.576955,0.959778,163654,34,26,0.0096528,0.00179565,0.9017513358869444,0.9576248893806754
347342,244,0.0763312,0.7879,0.664423,109977,27,13,0.00746993,0.00191427,0.9135712432115329,0.9562476286356957
445401,193,0.0763312,0.7879,0.664423,120663,27,16,0.00713244,0.00220715,0.9155462256616083,0.9530196849733849
355134,300,0.01,0.343492,0.01,30815,24,23,0.00416623,0.00366058,0.935453660057289,0.9394972727887412
420404,268,0.987749,0.389783,0.980513,154906,33,23,0.00917379,0.00220714,0.9042200960535041,0.9530197914010591
347342,189,0.0763312,0.7879,0.664423,109977,27,13,0.00733634,0.00250495,0.9143475627900759,0.9499505244782726
420404,278,0.99,0.369103,0.980513,154906,33,23,0.00912952,0.0022358,0.9044514782950568,0.952715753151816
420404,268,0.987749,0.355725,0.980513,154906,33,23,0.00892509,0.00232261,0.9055273055322333,0.9518065357128168
321307,434,0.739429,0.758445,0.925615,89031,16,32,0.00913012,0.00436066,0.9044483385806401,0.9339647064063467
495814,487,0.399474,0.642685,0.80569,141846,23,42,0.00870616,0.00737271,0.9066931942460787,0.9141355137440397
321307,319,0.739429,0.758445,0.925615,89031,26,32,0.00879776,0.00500586,0.9062036248035139,0.9292478975577404
975631,85,0.0473951,0.351779,0.616011,84852,17,20,0.00279001,0.0119666,0.947179454754802,0.8906080441714291
400692,350,0.28901,0.678424,0.643922,77044,28,32,0.00464685,0.012532,0.9318321923485873,0.8880535842467477
387145,314,0.176275,0.317222,0.426794,153007,16,10,0.00605578,0.0161619,0.9221811076922833,0.8728705384263742
387145,314,0.176275,0.317222,0.426794,118738,17,17,0.00436339,0.0169234,0.9339440388761165,0.8699100311322967
773467,370,0.179301,0.561212,0.310225,145829,40,28,0.00651578,0.0175726,0.919279618434995,0.8674383162448516
417107,380,0.808295,0.489863,0.843943,152532,34,26,0.00861228,0.0197847,0.9071976293406252,0.8593419038945855
387145,314,0.176275,0.214183,0.426794,153007,16,10,0.00577162,0.0200667,0.924028821254373,0.858343019939009
368147,115,0.884992,0.78793,0.851628,93825,22,12,0.00398316,0.0244305,0.9368877191031729,0.8436974088506528
200000,434,0.739429,0.283769,0.801414,97187,16,32,0.00306964,0.025335,0.9445956680394033,0.8408302792614123
204913,302,0.486947,0.152036,0.733817,75080,28,18,7.55246e-05,0.0370398,0.9913095109458673,0.8075427320156497
608226,181,0.22817,0.234266,0.395395,144201,50,18,0.00190609,0.037935,0.9563412093616875,0.8052309059424468
795767,441,0.214253,0.252416,0.167434,95545,24,24,0.00253719,0.0386769,0.9496294729032939,0.8033355649844132
225039,175,0.942847,0.614402,0.788814,70839,40,10,0.00171969,0.0479708,0.958530854843631,0.7809776267136164
520602,121,0.279684,0.482198,0.332219,176122,18,27,0.00318743,0.0490982,0.9435426709806424,0.7784188636187638
225039,175,0.970844,0.614402,0.788814,61715,48,11,0.0015393,0.0512689,0.9607660860988864,0.7735736322775106
736384,229,0.527125,0.539324,0.578371,113387,32,28,0.00475902,0.0557553,0.9310143493181372,0.7638743978303073
736384,229,0.527125,0.539324,0.578371,69951,32,30,0.00364808,0.0563836,0.9396006622552863,0.7625476889984012
406026,27,0.0329595,0.56685,0.565581,102912,49,35,0.002016,0.060306,0.9551001113587128,0.7544272002032799
618661,70,0.279684,0.428218,0.332219,186808,18,30,0.00219072,0.0655066,0.9531948720758078,0.7440574283164287
220015,300,0.586166,0.532721,0.539936,191485,28,33,0.00820105,0.0742816,0.9094403511490907,0.7274534902076344
220015,300,0.586166,0.532721,0.539936,191485,28,33,0.00820105,0.0742816,0.9094403511490907,0.7274534902076344
308466,233,0.276839,0.371241,0.0787866,155263,15,24,0.0049612,0.0770928,0.9295642136410759,0.7223440978477136
478399,40,0.251541,0.428218,0.332219,198156,18,30,0.00323579,0.0852704,0.9431159952183392,0.7079890413015293
690611,293,0.708454,0.295102,0.610003,148564,24,21,0.00356228,0.0855939,0.9403151610540834,0.7074356481045581
550411,369,0.491911,0.705613,0.394386,175561,24,39,0.00692352,0.092543,0.9167923080478734,0.6957911901341449
354365,269,0.337468,0.475707,0.122322,153571,11,23,0.00340758,0.0950114,0.9416255192742582,0.6917608071643062
374547,180,0.352782,0.475707,0.122322,164149,11,26,0.00276526,0.107762,0.9474142604882274,0.671728770678879
640965,213,0.37262,0.544573,0.134246,91664,34,36,0.00103305,0.114348,0.9678589048101967,0.661846188843006
264401,136,0.901789,0.163485,0.714118,129585,45,19,4.65737e-05,0.117659,0.9931755073448644,0.6569854230502733
406026,122,0.74167,0.518797,0.565581,102912,50,35,8.48688e-07,0.120009,0.9990787573609521,0.6535768483487283
313596,166,0.68204,0.222436,0.558381,131790,34,50,1.66126e-05,0.121841,0.9959241442616305,0.6509426981139057
670865,85,0.354705,0.224459,0.288239,170963,45,48,4.31277e-05,0.132458,0.993432831660449,0.6360522015453316
387145,314,0.636799,0.317222,0.426794,155850,16,10,0.00123561,0.140605,0.9648487553563178,0.6250266676148822
313596,138,0.68204,0.325475,0.499207,131790,34,50,1.78699e-05,0.141917,0.9957727195503492,0.6232812720344263
812497,141,0.513373,0.608507,0.292831,126170,35,27,0.00129556,0.143098,0.9640061116298891,0.6217170371269676
765313,88,0.76212,0.533934,0.506396,101433,45,35,2.00985e-07,0.163499,0.999551686493623,0.5956499041671932
827315,378,0.606012,0.646187,0.336792,91949,31,15,0.00558751,0.166993,0.9252503511713934,0.5913522299094243
462459,327,0.703971,0.314718,0.426794,140727,16,10,0.00134723,0.171535,0.9632953681397021,0.5858321596260763
891096,359,0.629152,0.649531,0.336792,91949,17,15,0.00554359,0.179522,0.9255447114034201,0.5762996341752818
640965,104,0.454714,0.544573,0.134246,91664,34,28,1.40695e-08,0.182505,0.9998813850768242,0.5727939607168457
640965,104,0.454714,0.544573,0.134246,91664,34,28,1.40695e-08,0.182505,0.9998813850768242,0.5727939607168457
580351,18,0.336007,0.512149,0.527146,112772,18,27,2.1466e-06,0.19609,0.998534872019242,0.5571794946030615
681342,18,0.336007,0.512149,0.527146,101970,18,27,9.54094e-08,0.197876,0.9996911158793333,0.5551674472343554
368650,164,0.703485,0.153752,0.349331,183298,25,24,7.34237e-05,0.255705,0.9914312369620814,0.4943271808768045
528521,185,0.659175,0.586295,0.239241,91595,30,30,0.000826073,0.264797,0.9712585143042326,0.4854157017552906
649606,113,0.659175,0.584652,0.239241,91595,30,36,7.17242e-06,0.270906,0.9973218625875433,0.4795136889408138
575872,273,0.797356,0.417209,0.312666,80084,16,30,0.00243354,0.315506,0.950669076635441,0.4383007922384081
609520,369,0.95014,0.295017,0.385605,127874,32,26,0.00449295,0.357504,0.9329705288697576,0.4020836178862466
226281,271,0.637296,0.227391,0.0655984,142275,45,15,0.000743072,0.366551,0.9727406529792073,0.39456544532047066
696957,268,0.892185,0.480872,0.312666,80084,24,37,0.00356307,0.390853,0.940308543324861,0.3748176266080433
889550,117,0.496385,0.226114,0.88757,10000,24,46,100000.0,100000.0,-315.22776601683796,-315.22776601683796
343405,41,0.884992,0.66517,0.851628,93825,36,12,100000.0,100000.0,-315.22776601683796,-315.22776601683796
361737,350,0.877592,0.619322,0.391377,73666,25,30,100000.0,100000.0,-315.22776601683796,-315.22776601683796
495814,312,0.330634,0.673264,0.80569,141846,35,42,100000.0,100000.0,-315.22776601683796,-315.22776601683796
770927,348,0.588777,0.288151,0.821909,102524,22,16,100000.0,100000.0,-315.22776601683796,-315.22776601683796
749435,373,0.705799,0.292861,0.215042,111096,17,35,100000.0,100000.0,-315.22776601683796,-315.22776601683796
893411,211,0.0786474,0.689725,0.589028,188826,20,25,100000.0,100000.0,-315.22776601683796,-315.22776601683796
679253,200,0.209433,0.295102,0.610003,148564,24,21,100000.0,100000.0,-315.22776601683796,-315.22776601683796
686031,471,0.841524,0.760919,0.598448,148761,33,49,100000.0,100000.0,-315.22776601683796,-315.22776601683796
626703,166,0.68204,0.322083,0.558381,152651,38,48,100000.0,100000.0,-315.22776601683796,-315.22776601683796
275118,76,0.749711,0.21149,0.366064,31895,37,32,100000.0,100000.0,-315.22776601683796,-315.22776601683796
