P_H,t_ads,alpha,v_0,beta,P_L,t_depres,t_pres,Obj1,Obj2,Pu,Rec
501048.0,435,0.0805396,0.62409,0.0571578,55170,49,47,0.00516741,0.00795033,0.9281153006544508,0.9108353769704598
699315.0,491,0.959952,0.164633,0.0365131,19202,37,43,0.00351467,0.861865,0.9407153476859313,0.07163315440500573
460078.0,239,0.105534,0.208347,0.711955,117430,40,45,0.00504194,0.0103487,0.9289933805902576,0.8982714396051925
641075.0,471,0.458955,0.713082,0.349215,56497,13,41,0.00577269,0.0933218,0.9240217794364727,0.694513830100281
483626.0,133,0.820285,0.314042,0.282318,153998,48,39,2.93286e-09,0.375472,0.9999458441138933,0.38724229910999897
330418.0,329,0.345775,0.305116,0.674341,90754,45,28,0.00114389,0.0182501,0.9661785570976045,0.864907069022839
794178.0,15,0.909414,0.12078,0.774072,43227,38,17,2.96069e-13,0.695289,0.9999994558777711,0.1661600873069219
391047.0,99,0.534559,0.344711,0.175442,125759,32,20,1.96104e-07,0.24499,0.9995571636871258,0.5050353547979411
873042.0,97,0.415834,0.312906,0.627727,105397,34,49,9.62465e-09,0.0547331,0.9999018946994297,0.7660489367410355
512779.0,72,0.813002,0.352718,0.256503,160910,23,17,2.8941e-11,0.420787,0.9999946203159944,0.3513190306475763
389876.0,466,0.634001,0.411712,0.744517,61464,30,36,0.00578886,0.0320776,0.9239154417769282,0.8208977945417757
865783.0,408,0.479911,0.614767,0.654571,168865,33,12,0.00826906,0.0300671,0.9090656280606723,0.8266013264179913
834660.0,117,0.929223,0.125423,0.877162,48579,50,24,7.20819e-22,0.110808,0.9999999999731519,0.6671216438396752
999837.0,89,0.678156,0.613216,0.584614,51840,21,29,0.000259521,0.0941899,0.9838903445102013,0.6930962691657203
712427.0,168,0.0388615,0.409449,0.687963,70777,14,29,0.00481472,0.00358474,0.9306118165679487,0.9401273017143874
360916.0,346,0.946779,0.693151,0.0796793,118751,21,30,0.00488729,0.76342,0.9300908446625193,0.12626090850872418
511954.0,460,0.661038,0.394669,0.937158,164348,43,11,0.00921205,0.00324747,0.9040205751215398,0.9430134226330446
609804.0,28,0.461679,0.366979,0.624836,97528,19,22,4.84495e-10,0.199126,0.9999779887528749,0.5537646360943589
