Pressure,1_0_000_q,1_0_000_e,1_1_250_q,1_1_250_e,2_0_000_q,2_0_000_e,2_1_031_q,2_1_031_e,2_2_062_q,2_2_062_e,2_3_094_q,2_3_094_e,2_4_125_q,2_4_125_e,2_5_156_q,2_5_156_e,2_6_188_q,2_6_188_e,2_7_219_q,2_7_219_e,3_10_093_q,3_10_093_e,3_12_111_q,3_12_111_e,3_14_130_q,3_14_130_e,3_16_148_q,3_16_148_e,3_18_167_q,3_18_167_e,3_1_009_q,3_1_009_e,3_22_204_q,3_22_204_e,3_2_019_q,3_2_019_e,3_3_028_q,3_3_028_e,3_4_037_q,3_4_037_e,3_6_056_q,3_6_056_e
0.0001,0.108939,0.00401096,0.0004744218,5.716907e-05,0.1076251,0.006233396,0.09397293,0.002917674,0.08463464,0.003448845,0.07005746,0.00201189,0.05894116,0.002537227,0.05595423,0.003658804,0.05031725,0.00371698,0.04112672,0.001750924,0.067634008,0.011055589,0.055830118,0.005236443,0.061898254,0.021043673,0.045324305,0.009400705,0.053147035,0.012816955,0.090087133,0.00522605,0.044990402,0.012395708,0.090176892,0.013898976,0.087077565,0.009120596,0.082079152,0.012428088,0.075117363,0.002733184
0.0005,0.3747604,0.01176519,0.002664927,0.0001444638,0.3744053,0.01325899,0.3298363,0.004382654,0.2936864,0.007818237,0.2446725,0.0113256,0.2059465,0.005575057,0.2021626,0.006558453,0.1865129,0.01120679,0.1571316,0.007039267,0.230218858,0.041493809,0.183972776,0.019364095,0.195730904,0.009475013,0.167065016,0.026500782,0.161279871,0.034177384,0.308464349,0.008937295,0.135693445,0.03450315,0.293146762,0.011785668,0.286146547,0.008163621,0.279741384,0.010303104,0.249399575,0.019544701
0.001,0.6119322,0.009889071,0.005121503,0.0004915617,0.6079119,0.0201632,0.5264009,0.01414908,0.467993,0.02363976,0.3881081,0.02048899,0.3264142,0.0127804,0.3216096,0.01711133,0.3081102,0.007949621,0.2506577,0.009314157,0.365176179,0.035164505,0.296610349,0.007529585,0.298541308,0.014180426,0.251183515,0.018589806,0.278381262,0.018179467,0.475018277,0.029142181,0.211134768,0.035858456,0.45666964,0.022386293,0.436704241,0.018566126,0.43286915,0.027929445,0.391780611,0.023178204
0.005,2.367417,0.05015241,0.02582713,0.001776521,2.347043,0.03003455,2.054405,0.06305932,1.778727,0.05279687,1.437313,0.07429924,1.240238,0.08990191,1.108042,0.02852933,1.15482,0.06400227,0.934983,0.1000241,1.065812036,0.046128233,0.897910121,0.06620911,0.837730333,0.077988703,0.740695465,0.039873645,0.795357698,0.04979067,1.491215451,0.048272841,0.537859084,0.023740618,1.412318536,0.020280086,1.368525025,0.044618111,1.293999292,0.033332835,1.185434531,0.049492154
0.01,3.196964,0.05848474,0.05125164,0.002770501,3.21388,0.02735201,2.853759,0.04990956,2.521315,0.02608055,2.141115,0.02347235,1.85885,0.07242853,1.771272,0.09373818,1.703478,0.0225511,1.379206,0.06606628,1.842488262,0.065181356,1.55568533,0.082880933,1.542844237,0.072432332,1.302054615,0.132059611,1.298916347,0.088676381,2.471310983,0.082297308,0.976858127,0.075980781,2.434361088,0.056084464,2.289393214,0.077873004,2.257823522,0.06146247,2.02536011,0.082337518
0.05,4.090289,0.03722637,0.2295413,0.007813093,4.108116,0.0624203,3.705094,0.03531555,3.285392,0.03962217,2.893536,0.02610151,2.561881,0.03065362,2.49784,0.02236223,2.452708,0.03001139,2.035993,0.02813489,2.993521732,0.030598114,2.599529239,0.049566649,2.580222792,0.042268654,2.288894576,0.100482387,2.377254835,0.044272632,3.740628517,0.025035818,1.926939793,0.159397433,3.638678149,0.081482789,3.529682971,0.039357623,3.462744861,0.017487255,3.228254912,0.039811268
0.1,4.463808,0.03320799,0.4170309,0.0180456,4.495861,0.01805079,4.049777,0.06259488,3.665889,0.02958326,3.189941,0.06331546,2.832276,0.0489708,2.754596,0.03538338,2.703778,0.04432609,2.233306,0.02780279,3.261838684,0.068805939,2.926400544,0.056687102,2.879829782,0.068458438,2.575402942,0.057662284,2.632954393,0.091004041,4.090911649,0.033971429,2.131177409,0.048419923,3.998962487,0.039124884,3.887893383,0.051549281,3.824780427,0.074052339,3.560355475,0.032744499
0.2,4.869565,0.0527265,0.7258358,0.009486166,4.918002,0.08576594,4.504565,0.03294301,4.116092,0.02386904,3.586712,0.03679113,3.209653,0.04669315,3.080879,0.04426789,3.004868,0.05359099,2.556997,0.06009676,3.588796691,0.009686769,3.226218774,0.09262719,3.167042961,0.094421918,2.85230104,0.053880297,2.916516488,0.049596088,4.487494558,0.028629482,2.434204397,0.065782128,4.382345791,0.05417709,4.254839932,0.060170973,4.169585668,0.034731257,3.912776618,0.040883772
0.3,5.216499,0.02661087,0.9796135,0.03054426,5.258837,0.02900036,4.832452,0.07124476,4.376127,0.05902438,3.827829,0.06858197,3.503999,0.03639515,3.379267,0.03070039,3.317594,0.04458677,2.81368,0.05531062,3.864865693,0.059416699,3.473882626,0.077933271,3.38380298,0.094611828,3.033087281,0.054328338,3.116799237,0.090036014,4.751079926,0.048413152,2.612216852,0.074165566,4.605972962,0.116877003,4.542326186,0.047720805,4.421937074,0.039920781,4.146869585,0.048727018
0.4,5.606065,0.08827604,1.204261,0.03856709,5.562824,0.07701095,5.066562,0.02484685,4.646283,0.02672088,4.078529,0.03219603,3.683115,0.03633906,3.49029,0.04841547,3.450268,0.08542696,2.962594,0.01217178,4.053989537,0.102982549,3.654926298,0.074654404,3.562412823,0.102628765,3.212005153,0.029852418,3.321591894,0.097878574,4.935019036,0.050830162,2.772507093,0.085272197,4.805623746,0.047573003,4.719250449,0.057416506,4.577197971,0.098400765,4.367197555,0.078240576
