struc,r_d,VF,SL_GCMC_ave,SL_GCMC_std,SL_VF
1_0_000,0,0.391,11.21598,0.086859316,14.10392857
1_1_250,25,0.6416,22.729752,0.138461681,23.14342857
2_0_000,0,0.40065,11.343116,0.141534751,14.45201786
2_1_031,3.1,0.432425,12.05296,0.138452473,15.5981875
2_2_062,6.2,0.462625,13.342508,0.113129345,16.68754464
2_3_094,9.4,0.48975,14.548146,0.196529323,17.66598214
2_4_125,12.5,0.52015,15.755408,0.184778053,18.76255357
2_5_156,15.6,0.541525,17.142688,0.146594479,19.53358036
2_6_188,18.8,0.56295,18.667628,0.179450646,20.30641071
2_7_219,21.9,0.5922,20.394106,0.146380143,21.3615
3_10_093,9.3,0.48117,14.2380927,0.070033325,17.35648929
3_12_111,11.1,0.500326,15.1121023,0.038761286,18.04747357
3_14_130,13,0.514926,15.80352311,0.034910275,18.57411643
3_16_148,14.8,0.530741,16.60581525,0.0820386,19.14458607
3_18_167,16.7,0.54463,17.37997158,0.100722828,19.64558214
3_1_009,0.9,0.404096,11.33822287,0.091951874,14.57632
3_22_204,20.4,0.577489,19.19637218,0.16033237,20.83085321
3_2_019,1.9,0.412593,11.60173405,0.089384212,14.88281893
3_3_028,2.8,0.42183,11.89092889,0.105795068,15.21601071
3_4_037,3.7,0.42943,12.29755167,0.071654903,15.49015357
3_6_056,5.6,0.448207,12.94285442,0.12209166,16.16746679
