name,Density (g/cm3),POAV (cm3/g),a,b,c
MP_0,1.82111,0.0823346,8.6068668172,8.880431479398474,12.992392668764364
MP_13,2.00282,0,3.9131980111,3.9131980111,3.9131980111
MP_14,2.09792,0.119852,6.1008827444,6.0696222409,8.45690538755
MP_15,0.971255,0.188004,10.7439995077,10.7439995077,10.7439995077
MP_16,1.14375,0.359029,10.8675474766,5.7191459413,15.71330258937941
MP_18,2.99267,0.0433793,4.1059942951,6.5375922625,12.5065549896
MP_19,2.377,0,10.2395358254,10.2395358254,10.2395358254
MP_1,2.91458,0.0563375,8.7064816206,8.6383479416,12.0797299233
MP_20,2.35,0,10.2509845555,10.2509845555,10.2509845555
MP_21,2.36459,0.0402268,10.2552742877,10.2552742877,10.2552742877
MP_23,1.97705,0.14552,5.0616377187,7.736268735102212,8.745300938339449
MP_25,0.694401,0.288248,7.050878759,4.4004982898,6.7156959585
MP_26,2.51291,0,4.092874214,4.092874214,4.092874214
MP_27,3.5096,0.0107761,10.4021773928,6.0675717245,4.7303973197
MP_28,3.3011,0.0300748,13.8405980544,13.840598054417429,9.2099310458
MP_29,4.12102,0.030837,4.2252934481,4.225293448076259,6.9764067723
MP_2,2.9137,0.0574046,8.7415860722,8.6606453308,12.1197480706
MP_30,4.71235,0,5.5376158138,5.5451404652,7.747770716881132
MP_31,2.88815,0.0186347,10.2549250192,5.9723556085,4.7394175489
MP_33,3.60324,0.0572097,8.5779994556,8.605774905519148,9.048075673493818
MP_34,0.209199,4.36244,10.37168,10.37168,10.37168
MP_3,3.04162,0.060928,8.9428767479,8.7931455993,12.3817379372
MP_4,4.04881,0.0367169,7.4736057981,16.9801478741,9.852411617
MP_6,1.41523,0,7.7790473223,3.5728519727,4.8797010259
MP_7,1.48392,0.162044,9.427073125,5.4338413555,5.7970043297
MP_9,3.08003,0.012857,6.4935636893,11.1154640005,6.418133190866161
OBELiX_0,4.46873,0,5.44268689,5.50710000,5.98626141
OBELiX_100,7.98826,0,5.53300000,5.53300000,7.90300000
OBELiX_101,2.8752,0,8.48285000,8.48285000,5.93013000
OBELiX_102,6.03991,0,8.75000000,8.75000000,4.22000000
OBELiX_103,2.32289,0,8.71900000,8.71900000,12.63900000
OBELiX_104,2.32597,0,8.71300000,8.71300000,12.63970000
OBELiX_105,2.72438,0,8.70570000,8.70570000,12.73890000
OBELiX_106,2.381,0,8.71121000,8.71121000,12.60780000
OBELiX_107,2.36878,0,8.71859000,8.71859000,12.65140000
OBELiX_108,2.65375,0,8.73685000,8.73685000,12.75730000
OBELiX_109,2.35287,0,8.72902000,8.72902000,12.70650000
OBELiX_10,4.64405,0,9.96400000,4.14800000,5.94090000
OBELiX_110,2.61427,0,8.73764000,8.73764000,12.71660000
OBELiX_111,2.66271,0,8.69204000,8.69204000,12.61660000
OBELiX_112,2.7051,0,8.65173000,8.65173000,12.53490000
OBELiX_113,2.68016,0.0168945,8.67822000,8.67822000,12.57440000
OBELiX_114,2.04489,0,8.68385000,8.68385000,12.55589000
OBELiX_115,4.88285,0.0161791,3.87980000,3.87980000,20.35970000
OBELiX_116,5.39631,0,3.95850000,3.95850000,25.91500000
OBELiX_117,5.38516,0,3.95300000,3.95300000,26.04100000
OBELiX_118,3.40845,0,4.17910000,4.17910000,9.36100000
OBELiX_119,3.3855,0,4.18040000,4.18040000,9.41860000
OBELiX_11,3.10546,0,5.10536000,6.11225000,5.29671000
OBELiX_120,6.21107,0,13.10560000,13.10560000,12.63030000
OBELiX_121,5.10818,0,13.12790000,13.12790000,12.67150000
OBELiX_122,3.30639,0.0266696,13.86700000,13.86700000,9.25700000
OBELiX_123,3.37476,0.0259514,13.77200000,13.77200000,9.19500000
OBELiX_124,4.0164,0.0318544,13.94100000,13.94100000,9.30200000
OBELiX_125,3.26977,0.0136462,8.51120000,8.51120000,20.84790000
OBELiX_126,3.28905,0,8.50220000,8.50220000,20.76960000
OBELiX_127,0.999745,0.0445514,8.07117000,8.07117000,9.51300000
OBELiX_128,2.98404,0.016863,6.07480000,6.07480000,6.59540000
OBELiX_129,2.98002,0.0177516,6.08310000,6.08310000,6.58630000
OBELiX_12,1.58387,0.226168,6.12410000,7.76750000,6.89340000
OBELiX_130,2.21939,0.0341986,6.07740000,6.07740000,6.59880000
OBELiX_131,2.94247,0.0292339,11.20933700,11.20933700,6.04694100
OBELiX_132,2.59734,0.0103876,7.94780000,7.94780000,6.15528000
OBELiX_133,2.93777,0.00843498,8.01709000,8.01709000,6.28461000
OBELiX_134,3.13469,0.0739211,8.84700000,8.84700000,22.24000000
OBELiX_135,3.24581,0.0110296,8.52700000,8.52700000,20.92400000
OBELiX_136,3.5873,0.0456722,8.27500000,8.27500000,20.47000000
OBELiX_137,3.59197,0.0459859,8.27059000,8.27059000,20.46520000
OBELiX_138,3.92326,0,8.26190000,8.26190000,20.56560000
OBELiX_139,3.91658,0.00332944,8.25565000,8.25565000,20.63190000
OBELiX_13,1.87832,0.00547296,6.24880000,7.83690000,6.85830000
OBELiX_140,3.91183,0.00533766,8.25658000,8.25658000,20.65230000
OBELiX_141,3.90791,0.0045651,8.25247000,8.25247000,20.69360000
OBELiX_142,3.90783,0,8.25004000,8.25004000,20.70620000
OBELiX_143,3.27676,0.0114625,8.50660000,8.50660000,20.82590000
OBELiX_144,2.96244,0.00825671,8.50221000,8.50221000,20.81540000
OBELiX_145,3.28912,0.0134139,8.49554000,8.49554000,20.80170000
OBELiX_146,3.13207,0.014061,8.49409000,8.49409000,20.79210000
OBELiX_147,3.67411,0,8.54509000,8.54509000,20.87683000
OBELiX_148,2.89867,0.0746203,8.54910000,8.54910000,21.04730000
OBELiX_149,2.83336,0.073743,8.59830000,8.59830000,21.28680000
OBELiX_14,4.46919,0.00614428,6.43200000,11.09300000,6.39800000
OBELiX_150,2.81495,0.0748647,8.61210000,8.61210000,21.35740000
OBELiX_151,5.7737,0.023174,8.83060000,8.83060000,22.02699000
OBELiX_152,2.95967,0.0119135,8.50029000,8.50029000,20.84430000
OBELiX_153,2.96388,0.0584032,8.49200000,8.49200000,20.86200000
OBELiX_154,3.92346,0.00502108,8.26189000,8.26189000,20.56460000
OBELiX_155,3.90977,0,8.25260000,8.25260000,20.68310000
OBELiX_156,3.57996,0.0432184,8.27500000,8.27500000,20.51200000
OBELiX_157,2.96164,0.00777272,8.50368000,8.50368000,20.81380000
OBELiX_158,3.2759,0.00597698,8.50637000,8.50637000,20.83250000
OBELiX_159,3.26977,0.0165394,8.51120000,8.51120000,20.84790000
OBELiX_15,2.15487,0.0686074,11.11569000,7.00704000,6.52514000
OBELiX_160,2.94805,0.0624819,8.51450000,8.51450000,20.86330000
OBELiX_161,3.49432,0.0212573,8.87272000,8.87272000,22.15783000
OBELiX_162,3.27018,0.00711886,8.51180000,8.51180000,20.84230000
OBELiX_163,2.95879,0.0124781,8.49625000,8.49625000,20.87030000
OBELiX_164,2.7531,0.00736624,12.61590000,12.61590000,5.00820000
OBELiX_165,7.60165,0.0129525,9.67900000,9.67900000,7.11300000
OBELiX_166,4.69474,0.00846905,9.46010000,9.46010000,6.91130000
